325,Theory of Interest/Mathematics of Finance,ACSC 325,One of Mathematics 249$ 265 or 275. ,none,none
327,Life Contingencies I,ACSC 327,Statistics 321.,none,none
425,Intermediate Finance and Investment,ACSC 425,Actuarial Science 325 and Statistics 323.,Credit for Actuarial Science 425 and Finance 317 will be not be allowed without consent of the Department. ,none
427,Life Contingencies II,ACSC 427,Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311$ 313$ 367 or 375.,none,none
437,Actuarial Models ,ACSC 437,Statistics 323. ,none,none
511,Generalized Linear Models for Actuaries ,ACSC 511,Statistics 323. ,none,none
513,Fundamentals of Actuarial Practice,ACSC 513,Actuarial Science 327 and Statistics 321. ,Credit for Actuarial Science 513 and 539.02 will not be allowed.,none
515,Models for Financial Economics ,ACSC 515,Actuarial Science 325 and Statistics 321. ,Credit for Actuarial Science 515 and 539.04 will not be allowed.,none
517,Estimating Unpaid Claims in General Insurance ,ACSC 517,Actuarial Science 327. ,Credit for Actuarial Science 517 and 539.06 will not be allowed.,none
519,Quantitative Financial Risk Management,ACSC 519,Actuarial Science 327.,none,none
527,Life Contingencies III,ACSC 527,Actuarial Science 327; Statistics 323; 3 units from Mathematics 311$ 313$ 367 or 375; and 3 units from Computer Science 217$ 231$ 235 or Data Science 211.,none,none
531,Loss Distributions and Their Estimations ,ACSC 531,Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311$ 313$ 367 or 375.,Credit for Actuarial Science 531 and 533 will not be allowed.,none
535,Mathematics of Demography,ACSC 535, Actuarial Science 327 and Statistics 323.,none,none
537,Credibility Theory,ACSC 537,Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311$ 313$ 367 or 375.,Credit for Actuarial Science 537 and either 533 or 637 will not be allowed.,none
539,Special Topics in Actuarial Science,ACSC 539,Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311$ 313$ 367 or 375.,none,none
600,Research Seminar,ACSC 600,none,none,none
611,Generalized Linear Models for Actuaries,ACSC 611,Statistics 323 or Mathematics 323$ and Statistics 429.,none,none
617,Estimating Unpaid Claims in General Insurance,ACSC 617,Actuarial Science 327.   ,Credit for Actuarial Science 617 and either 517 or 539.06 will not be allowed.,none
619,Quantitative Financial Risk Management,ACSC 619,Actuarial Science 327.,none,none
627,Advanced Life Contingencies ,ACSC 627,Actuarial Science 327; and one of Statistics 323 or Mathematics 323; and one of Mathematics 311 or 313 or 353 or 367 or 375 or 381; and one of Computer Science 217 or 231 or 235. ,Credit for Actuarial Science 627 and 527 will not be allowed.,none
637,Credibility Theory ,ACSC 637,Actuarial Science 327; Statistics 323 or Mathematics 323; and one of Mathematics 311 or 313 or 353 or 367 or 375 or 381.,Credit for more than one of Actuarial Science 537$ 637 and 533 will not be allowed. ,none
639,Conference Course in Actuarial Modelling,ACSC 639,none,none,none
