202,Beginners Arabic I,ALMC 202,Consent of the School of Languages$ Linguistics$ Literatures and Cultures. ,none,none
204,Beginnerssinglequote Arabic II,ALMC 204,Arabic Language and Muslim Cultures 202.,none,none
301,Continuing Arabic I,ALMC 301,Arabic Language and Muslim Cultures 204.,none,none
303,Continuing Arabic II,ALMC 303,Arabic Language and Muslim Cultures 301.,none,none
309,Arabic Culture in an Immersion Setting,ALMC 309,Arabic Language and Muslim Cultures 204.,none,Arabic Language and Muslim Cultures 311.
311,Modern Standard Arabic Language ,ALMC 311,Arabic Language and Muslim Cultures 204.,none,Arabic Language and Muslim Cultures 309.
313,Reading Classical Arabic ,ALMC 313,Arabic Language and Muslim Cultures 204.,none,none
317,Muslim Civilization I,ALMC 317,none,none,none
319,Topics in Muslim Civilization II,ALMC 319,none,none,none
331,Intermediate Arabic I,ALMC 331,Arabic Language and Muslim Cultures 303.,none,none
333,Intermediate Arabic II,ALMC 333,Arabic Language and Muslim Cultures 331.,none,none
343,Topics in Colloquial Spoken Arabic I,ALMC 343,Arabic Language and Muslim Cultures 204.,none,none
345,Topics in Colloquial Spoken Arabic II,ALMC 345,The corresponding language in Arabic Language and Muslim Cultures 343.,none,none
354,Topics in Arabic Language and Linguistics ,ALMC 354,Arabic Language and Muslim Cultures 204. ,none,none
358,Topics in Cinema of Muslim Societies ,ALMC 358,none,none,none
360,Topics in Muslim Literatures ,ALMC 360,none,none,none
430,Directed Reading in Arabic Language and Muslim Cultures,ALMC 430,Consent of the School of Languages$ Linguistics$ Literatures and Cultures.,none,none
