201,Introduction to Archaeology,ARKY 201,none,none,none
205,Ancient Peoples and Places,ARKY 205,none,none,none
303,Archaeology of North America,ARKY 303,none,none,none
306,Field Course in Archaeological Techniques,ARKY 306,Consent of the Department.,none,none
307,Introduction to Ethnoarchaeology,ARKY 307,none,none,none
317,Archaeology of the Ancient Puebloan Southwest,ARKY 317,none,Credit for Archaeology 317 and 427 will not be allowed.,none
321,Mammoths to Maize$ Medicine Wheels and Warriors: Archaeology of the Canadian Plains,ARKY 321,none,Credit for Archaeology 321 and 421 will not be allowed.,none
325,Ancient Civilizations,ARKY 325,none,none,none
327,Topics in Archaeology and Popular Culture,ARKY 327,none,none,none
329,Fringe Archaeology,ARKY 329,none,Credit for Archaeology 329 and 327.01 will not be allowed.,none
331,Archaeology and the Media ,ARKY 331,none,Credit for Archaeology 331 and 327.02 will not be allowed.,none
335,African Stone Age,ARKY 335,none,Credit for Archaeology 335 and 435 will not be allowed.,none
341,Ancient Mexico,ARKY 341,none,none,none
343,The Ancient Maya,ARKY 343,none,none,none
345,The Legacy of Mesoamerica,ARKY 345,none,none,none
347,Field Studies in Latin American Archaeology,ARKY 347, Consent of the Department.,none,none
353,Archaeology of South America,ARKY 353,none,none,none
355,Native Cultures of the Amazon,ARKY 355,none,none,none
357,The Incas and Their Successors,ARKY 357,none,none,none
395,African Archaeology,ARKY 395, Archaeology 201 or 205.,none,none
399,Ethnohistory of Africa,ARKY 399,none,none,none
401,Archaeology of the Near East,ARKY 401, Archaeology 201 or 205.,none,none
415,Lithic Technology,ARKY 415,Archaeology 201.,none,none
417,Zooarchaeology,ARKY 417,Archaeology 201.,none,none
419,Tipi$ Buffalo$ and Vision: People of the Plains,ARKY 419,none,Credit for Archaeology 419 and Anthropology 419 will not be allowed.,none
423,Archaeology of the Arctic,ARKY 423, 3 units from Archaeology 201$ 205$ 303.,none,none
437,Paleolithic Archaeology in the Old World,ARKY 437,Archaeology 201 or 203.,Credit for Archaeology 437 and 533.14 will not be allowed.,none
439,African Complex Societies,ARKY 439,none,none,none
443,Hunter-Gatherer Archaeology,ARKY 443, Archaeology 201.,Credit for Archaeology 443 and 531.81 will not be allowed.      ,none
451,Introduction to Method and Theory,ARKY 451, Archaeology 201 and 60 units.,none,none
453,Fundamentals of Geoarchaeology,ARKY 453,3 units from Archaeology 201$ Geography 211$ 310$ Geology 201$ 209.,none,none
455,Paleoindian Archaeology,ARKY 455, Archaeology 201.,none,none
471,Ceramic Analysis,ARKY 471, Archaeology 201.,none,none
490,Current Topics in Archaeology,ARKY 490,Consent of the Department. ,none,none
503,Gender in Prehistory,ARKY 503, Archaeology 451.,none,none
506,Advanced Archaeological Field Techniques,ARKY 506,Archaeology 201 and 306.,none,none
515,Paleoethnobotany,ARKY 515,Consent of the Department. ,Credit for Archaeology 515 and 533.26 will not be allowed.,none
523,Human Ecology,ARKY 523,Consent of the Department.,Credit for Archaeology 523 and Geography 523 will not be allowed.,none
531,Advanced Topics in Archaeology,ARKY 531, Consent of the Department.,none,none
537,Topics in Mesoamerican Archaeology,ARKY 537,6 units from Archaeology 341$ 343$ 345$ 347.,none,none
555,Human Osteology,ARKY 555,Anthropology 309 or 350.,Credit for Archaeology 555 and 613 will not be allowed.,none
590,Honours Thesis,ARKY 590,Admission to BA or BSc Archaeology Honours program and consent of the Department.,none,none
591,Landscape Archaeology,ARKY 591, Archaeology 451.,none,none
593,Household Archaeology,ARKY 593, Archaeology 451.,none,none
595,Problems in Palaeopathology and Palaeonutrition,ARKY 595,9 units Anthropology 201$ 350$ Archaeology 555 and admission to the Archaeology or Anthropology major. ,none,none
597,Independent Study,ARKY 597,Admission to the BA or BSc Archaeology and consent of the Department.,none,none
601,Theoretical Foundations,ARKY 601, Consent of the Department.,none,none
603,Seminar on Special Topics,ARKY 603, Consent of the Department.,none,none
613,Analysis of Human Skeletal Remains,ARKY 613,Consent of the Department.,Credit for Archaeology 613 and either 555 or 603.07 will not be allowed.,none
615,Topics in Archaeological Theory and Method,ARKY 615, Consent of the Department.,none,none
617,Theory and its Application in Biological Anthropology,ARKY 617, Consent of the Department.,none,none
619,Advanced Topics in Human Osteology,ARKY 619, Archaeology 555.,none,none
621,Problems in Ethnoarchaeology,ARKY 621, Consent of the Department.,none,none
625,Hunter-Gatherer Adaptations,ARKY 625,none,none,none
627,Origins of Agriculture,ARKY 627,none,none,none
631,The Development of Complex Societies,ARKY 631,Consent of the Department.,none,none
633,Specialized Analyses of Archaeological Materials,ARKY 633,Consent of the Department.,none,none
635,Social Identity,ARKY 635,Consent of the Department.,none,none
637,Mesoamerican Archaeology and History,ARKY 637, Consent of the Department.,none,none
639,Stable Isotope Methods in Archaeology,ARKY 639, Consent of the Department.,none,none
701,Special Topics in World Archaeology,ARKY 701,none,none,none
703,Advanced Seminar in Selected Topics,ARKY 703, Consent of the Department.,none,none
