341,Biochemistry of Life Processes,BCEM 341,Chemistry 351.,Not open to majors in the Department of Biological Sciences or Natural Sciences concentrators in Biological Sciences. Credit for Biochemistry 341 and 393 will not be allowed. ,none
393,Introduction to Biochemistry,BCEM 393,Chemistry 351; and Biology 311 or admission to the BHSc Honours program and Medical Sciences 341.,Credit for Biochemistry 393 and 341 will not be allowed.,none
411,Laboratory Techniques I,BCEM 411,Biochemistry 393; and Chemistry 353 or 355. ,Credit for Biochemistry 411 and either of Biochemistry 401 or 403 will not be allowed.,none
413,Laboratory Techniques II,BCEM 413,Cellular$ Molecular and Microbial Biology 411$ Biochemistry 411 and 471. ,Credit for Biochemistry 413 and any of Biochemistry 401$ 403 or Cellular$ Molecular and Microbial Biology 451 will not be allowed.,none
431,Proteins and Proteomics,BCEM 431,Biology 331; Biochemistry 341 or 393; and Chemistry 353 or 355.,Credit for Biochemistry 431 and 531 will not be allowed.,none
443,Metabolism,BCEM 443,Chemistry 353 or 355; and Biochemistry 341 or 393.,none,none
471,Physical Biochemistry,BCEM 471,Biochemistry 341 or 393; and Chemistry 353 or 355; and 3 units from Mathematics 249$ 251$ 265$ 275$ 281$ or Applied Mathematics 217; and 3 units from Mathematics 253$ 267$ 277$ 283$ 211$ 213$ or Applied Mathematics 219; and Physics 211 or 221$ and 223.,none,none
507,Advanced Topics in Biochemistry,BCEM 507,54 units and consent of the Department.,none,none
528,Independent Studies in Biochemistry,BCEM 528,72 units and consent of the Department.,none,none
530,Honours Research Project in Biochemistry,BCEM 530,72 units and consent of the Department.,none,none
541,Concepts in Biochemical Toxicology,BCEM 541,Biochemistry 341 or 393; Chemistry 311$ 321 and 351. ,none,none
543,Enzymology,BCEM 543, Biochemistry 341 or 393.,none,none
547,Signal Transduction and Regulation of Metabolism,BCEM 547, Biochemistry 393.,none,none
551,Structural Biology,BCEM 551,Biochemistry 341 or 393; and Biochemistry 471 or Chemistry 371.,none,none
553,Molecular Biophysics,BCEM 553,Biochemistry 341 or 393; and Biochemistry 471 or Chemistry 371.,Credit for Biochemistry 553 and Biology 553 will not be allowed.,none
555,Biomembranes,BCEM 555,Biochemistry 431 and 471.,none,none
561,Applied Biochemistry and Biotechnology,BCEM 561,Biochemistry 341 or 393; and Biology 331.,none,none
575,Lipids,BCEM 575,6 units of courses labelled Biochemistry.,none,none
577,Biomolecular Simulation,BCEM 577,Biochemistry 341 or 393; and Biochemistry 471 or Chemistry 371.,none,none
641,Selected Topics in Biochemistry,BCEM 641,none,none,none
731,Current Topics in Biochemistry,BCEM 731,none,none,none
