205,Beginnerssinglequote Chinese I,CHIN205,Consent of the School of Languages, Linguistics, Literatures and Cultures.,none,none
207,Beginnerssinglequote Chinese II,CHIN207, Chinese 205.,none,none
229,Intensive Beginnerssinglequote Chinese,CHIN229,Consent of the School of Languages, Linguistics, Literatures and Cultures.,Credit for Chinese 229 and either 205 or 207 will not be allowed.,none
279,Reading and Writing Chinese,CHIN279,Consent of the School of Languages, Linguistics, Literatures and Cultures.,Credit for Chinese 279 and either 205 or 207 will not be allowed.,none
280,Chinese Language in an Immersion Setting Beginners I ,CHIN280,Consent of the School of Languages, Linguistics, Literatures and Cultures.,Credit for Chinese 280 and 311 will not be allowed.,none
281,Chinese Language in an Immersion Setting Beginners II,CHIN281,Chinese 280.,Credit for Chinese 281 and 313 will not be allowed.,none
301,Continuing Chinese I,CHIN301,Chinese 207.,Credit for Chinese 229 and 301 will not be allowed.,none
303,Continuing Chinese II,CHIN303,Chinese 301.,Credit for Chinese 303 and 229 will not be allowed.,none
304,Chinese Language in an Immersion Setting Continuing I ,CHIN304,Consent of the School of Languages, Linguistics, Literatures and Cultures.,Credit for Chinese 304 and 311 will not be allowed.,none
305,Chinese Language in an Immersion Setting Continuing II,CHIN305,Chinese 304.,Credit for Chinese 305 and 313 will not be allowed.,none
310,Topics in Chinese Culture in an Immersion Setting ,CHIN310,Consent of the School of Languages, Linguistics, Literatures and Cultures. ,Credit for Chinese 309 and 310 will not be allowed.,none
317,Topics in Chinese Civilization,CHIN317,none,none,none
331,Intermediate Chinese I,CHIN331,Chinese 303.,Credit for Chinese 331 and 229 will not be allowed.,none
333,Intermediate Chinese II,CHIN333,Chinese 331.,Credit for Chinese 333 and 229 will not be allowed.,none
334,Chinese Language in an Immersion Setting Intermediate I,CHIN334,Consent of the School of Languages, Linguistics, Literatures and Cultures.,Credit for Chinese 311 and 334 will not be allowed.,none
335,Chinese Language in an Immersion Setting Intermediate II,CHIN335,Chinese 334.,Credit for Chinese 313 and 335 will not be allowed.,none
341,Introduction to Chinese Literature ,CHIN341,Chinese 303.,none,none
353,Introduction to Chinese Language and Linguistics,CHIN353,Chinese 207. ,none,none
355,Topics in Chinese Literature in Translation,CHIN355,none,none,none
357,Topics in Chinese Film,CHIN357,none,none,none
363,Chinese Language in the Cultural Context ,CHIN363,Chinese 207 or consent of the School of Languages, Linguistics, Literatures and Cultures. ,none,none
371,Classical Chinese I,CHIN371,Chinese 303.,none,none
373,Classical Chinese II,CHIN373,Chinese 371.,none,none
401,Advanced Chinese Conversation,CHIN401,Chinese 333.,none,none
403,Advanced Readings and Writing in Modern Chinese,CHIN403,Chinese 333.,none,none
431,Selected Topics in Chinese Literature,CHIN431,Chinese 403.,none,none
461,Japanese-Chinese Cultural Relations,CHIN461,Chinese 303 or higher (excluding Chinese 317 and Chinese 355).,none,none
561,Research Seminar,CHIN561,Chinese 403 or 431. ,none,none
