343,Microbiology,CMMB 343, Chemistry 351; and Biology 311 or Medical Science 341.,none,none
403,Developmental Biology of Animals,CMMB 403,Biochemistry 341 or 393; and Biology 311 or Medical Science 341; and Biology 331 or Medical Science 351.,none,none
411,Molecular Genetics,CMMB 411,Biology 311 or Medical Science 341; and Biology 331 or Medical Science 351; and Biochemistry 341 or 393.,none,none
413,Human Genetics,CMMB 413, Biology 311 or Medical Science 341.,none,none
421,Virology,CMMB 421,Biochemistry 393 and Cellular$ Molecular and Microbial Biology 343; and Biology 311 or Medical Science 341; and Biology 331 or Medical Science 351.,none,none
431,Bacterial Pathogens,CMMB 431, Cellular$ Molecular and Microbial Biology 343.,none,none
443,Microbial Physiology,CMMB 443,Cellular$ Molecular and Microbial Biology 343; and Biochemistry 341 or 393.,none,none
451,Molecular Analysis of Biological Systems,CMMB 451,Cellular$ Molecular and Microbial Biology 411 and admission to the Cellular$ Molecular and Microbial Biology major or to the Biological Sciences Honours program.,Credit for Cellular$ Molecular and Microbial Biology 451 and either Biochemistry 401 or 413 will not be allowed.,none
461,Functional Genomics and Molecular Networks,CMMB 461,Biology 331.,Credit for Cellular$ Molecular and Microbial Biology 461 and Biology 461 will not be allowed.,none
505,Advanced Developmental Biology,CMMB 505,Cellular$ Molecular and Microbial Biology 403.,none,none
507,Advanced Topics in Cellular$ Molecular and Microbial Biology,CMMB 507,54 units and consent of the Department.,none,none
511,Molecular Biology and Genetics,CMMB 511, Cellular$ Molecular and Microbial Biology 411.,none,none
519,Advanced Cell Biology,CMMB 519,Biology 311 and 331; and 3 units from Cellular$ Molecular and Microbial Biology 411$ Biochemistry 401 or 443.,none,none
523,DNA Genomes and RNA Function,CMMB 523, Cellular$ Molecular and Microbial Biology 411.,none,none
527,Immunology,CMMB 527,Biology 311$ 331$ Cellular$ Molecular and Microbial Biology 343; and 3 units from Cellular$ Molecular and Microbial Biology 411$ Biochemistry 431 or 443.,none,none
528,Independent Studies in Cellular$ Molecular and Microbial Biology,CMMB 528,72 units and consent of the Department.,none,none
530,Honours Research Project in Cellular$ Molecular and Microbial Biology,CMMB 530, Cellular$ Molecular and Microbial Biology 451 and completion of at least 72 units and consent of the Department.,none,none
531,Topics in Cellular Interactions,CMMB 531,Biology 311 and 331; and 3 units from Cellular$ Molecular and Microbial Biology 411$ Biochemistry 443 or 431.,none,none
543,Environmental Microbiology,CMMB 543,Cellular$ Molecular and Microbial Biology 343.,none,none
545,Petroleum Microbiology,CMMB 545,Cellular$ Molecular and Microbial Biology 343.,none,none
549,Microbial Genetics and Genomics,CMMB 549, Cellular$ Molecular and Microbial Biology 411.,none,none
561,Cancer Biology,CMMB 561,Biochemistry 341 or 393; and Biology 311 or Medical Science 341; and Biology 331 or Medical Science 351; and Cellular$ Molecular and Microbial Biology 411 or Medical Science 408.,none,none
563,Microbial Diversity,CMMB 563,Cellular$ Molecular and Microbial Biology 343.,none,none
565,Advanced Topics in Microbial Pathogenesis and the Microbiome ,CMMB 565,Cellular$ Molecular and Microbial Biology 431.,none,none
567,Advanced Topics in Immunology,CMMB 567,Cellular$ Molecular and Microbial Biology 527 or Medical Science 321.,none,none
637,Advanced Topics in Molecular Microbiology,CMMB 637,none,none,none
