203,Introduction to Problem Solving using Application Software,CPSC 203,none,Not open to Computer Science majors.,none
217,Introduction to Computer Science for Multidisciplinary Studies I,CPSC 217,none,Credit for Computer Science 217 and any of 215$ 231$ 235$ Data Science 211$ Computer Engineering 339 or Engineering 233 will not be allowed.,none
219,Introduction to Computer Science for Multidisciplinary Studies II,CPSC 219,Computer Science 217 or Data Science 211.,Credit for Computer Science 219 and any of 233$ 235$ Electrical Engineering 497 or Computer Engineering 493 will not be allowed.,none
231,Introduction to Computer Science for Computer Science Majors I,CPSC 231,none,Credit for Computer Science 231 and any of 215$ 217$ 235 or Data Science 211 or Computer Engineering 339 or Engineering 233 will not be allowed.,none
233,Introduction to Computer Science for Computer Science Majors II,CPSC 233,Computer Science 231.,Credit for Computer Science 233 and any of 219$ 235$ Electrical Engineering 497 or Computer Engineering 493 will not be allowed.,none
235,Advanced Introduction to Computer Science,CPSC 235,Consent of the Department.,Credit for Computer Science 235 and any of 215$ 217$ 219$ 231$ 233$ Computer Engineering 339$ 493 or Data Science 211 will not be allowed.,none
251,Theoretical Foundations of Computer Science I ,CPSC 251,Computer Science 219 or 231.,Students may not register in$ or have credit for$ Computer Science 251 if they have previous credit for one of Mathematics 271 or 273 or are concurrently enrolled in Mathematics 271 or 273.,none
313,Introduction to Computability,CPSC 313,Mathematics 271 or 273; and Philosophy 279 or 377; and 3 units from Computer Science 219$ 233 or 235.,Credit for Computer Science 313 and Computer Science 351 will not be allowed.,none
319,Data Structures$ Algorithms$ and Their Applications,CPSC 319,3 units from Computer Science 219$ 233$ 235$ Computer Engineering 335$ 339 or Software Engineering for Engineers 337.,Credit for Computer Science 319 and 331 will not be allowed. Computer Science majors are not permitted to register in this course.,none
329,Explorations in Information Security and Privacy,CPSC 329,Mathematics 30-1 or Mathematics 30-2.,none,none
331,Data Structures$ Algorithms$ and Their Analysis,CPSC 331,3 units from Computer Science 251$ Mathematics 271 or 273; and 3 units from Computer Science 219$ 233$ 235$ Computer Engineering 335$ 339 or Software Engineering for Engineers 337.,Credit for Computer Science 331 and 319 will not be allowed.           ,none
335,Intermediate Information Structures,CPSC 335,Computer Science 319 or 331.         ,none,none
