201,Introductory Contemporary Dance I,DNCE 201,none,Not open to Dance Majors.,none
205,Introductory Contemporary Dance II,DNCE 205, Dance 201.,Not open to Dance majors.,none
206,Topics in Dance Forms,DNCE 206,none,Not open to Dance majors.,none
207,Elementary Contemporary Dance I,DNCE 207, Dance 205 and audition or admission to the Dance major.,none,none
209,Elementary Contemporary Dance II,DNCE 209,Dance 207. Audition required if Dance 207 was not completed in the previous term.,none,none
211,Introductory Jazz Dance,DNCE 211,none,none,none
213,Introductory Jazz Dance II,DNCE 213,Dance 211.,none,none
215,Hip Hop I,DNCE 215,none,Credit for Dance 215 and either 315 or 343.01 will not be allowed.,none
217,Hip Hop II,DNCE 217,Dance 215.,Credit for Dance 217 and either 317 or 343.05 will not be allowed.,none
221,Introductory Ballet I,DNCE 221,none,none,none
223,Introductory Ballet II,DNCE 223,Dance 221.    ,none,none
235,Safe Dance Practice and Complementary Training,DNCE 235,Dance 207 and admission to the Dance program.    ,none,none
243,Dance in Popular Culture ,DNCE 243,none,none,none
247,Introduction to Creative Process ,DNCE 247,Admission to the Dance major.    ,none,none
267,Introduction to Dance Studies ,DNCE 267,Admission to the Dance major.  ,none,none
295,Dance Performance Practicum I       ,DNCE 295,Consent of the Division Chair$ Dance.,none,none
303,Principles of Technique,DNCE 303,Dance 209 and audition.,none,none
305,Elementary Contemporary Dance III,DNCE 305,Dance 209 and audition.,none,none
307,Intermediate Contemporary Dance I,DNCE 307,Dance 305. Audition required if Dance 305 was not completed in the previous term.  ,none,none
309,Special Topics in Dance Theory I,DNCE 309, Consent of the Division Chair$ Dance.,none,none
311,Elementary Jazz Dance I,DNCE 311, Dance 211 and audition.,none,none
313,Elementary Jazz Dance II,DNCE 313,Dance 311. Audition required if Dance 311 was not completed in the previous term.   ,none,none
321,Elementary Ballet I,DNCE 321, Dance 221 and audition.,none,none
323,Elementary Ballet II,DNCE 323,Dance 321. Audition required if Dance 321 was not completed in the previous term.  ,none,none
331,Creative Process I: Improvisation,DNCE 331, Dance 209 and 247. ,none,none
333,Creative Process II: Solo Forms,DNCE 333, Dance 331. ,none,none
341,Early Dance History,DNCE 341,none,Credit for Dance 341 and 241 will not be allowed.,none
343,Special Topics in Dance Practices,DNCE 343,One junior level dance course and consent of the Division Chair$ Dance.,none,none
