600,Research Methodology in Education,EDER600,Admission to a graduate program in Educational Research, or the consent of Graduate Programs in Education.	,Credit for Educational Research 600 and 603.21 will not be allowed.,none
602,Program and Practice Evaluation ,EDER602,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 602 and 603.24 will not be allowed.,none
603,Research Methods,EDER603,Admission to a graduate program in Educational Research.,none,none
604,Collaboratory of Practice ,EDER604,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 604 and 692 will not be allowed.,none
606,Writing Educational Research ,EDER606,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 606 and 603.23 will not be allowed.
 ,none
608,Research Methods in Education ,EDER608,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 608 and 603.26 will not be allowed.,none
610,Case Study Research in Education ,EDER610,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.,Credit for Educational Research 610 and 603.08 will not be allowed.,none
612,Participatory Methodology in Education ,EDER612,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
  ,Credit for Educational Research 612 and 603.27 will not be allowed.,none
613,Change and Innovation in Education,EDER613,Admission to a graduate program in Educational Research.,none,none
614,Action Research in Education ,EDER614,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 614 and 603.25 will not be allowed.,none
615,Special Topics in Educational Research,EDER615,Admission to a graduate program in Educational Research or the consent of Graduate Programs in Education.,none,none
616,Design-Based Research Methods in Education ,EDER616,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 616 and 603.06 will not be allowed.
 ,none
617,Organizational Theory and Analysis in Education,EDER617,Admission to a graduate program in Educational Research.,none,none
618,Research Design and Statistics I ,EDER618,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 618 and 603.05 will not be allowed.,none
619,Special Topics in Educational Leadership,EDER619,Admission to a graduate program in Educational Research.,none,none
620,Introduction to Interpretive Inquiry ,EDER620,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.
 ,Credit for Educational Research 620 and 603.01 will not be allowed.,none
621,Assessment of Classroom Learning,EDER621,Admission to a graduate program in Educational Research.,none,none
623,Topics in Educational Technology,EDER623,Admission to a graduate program in Educational Research.,none,none
624,Introduction to Phenomenology and Hermeneutics ,EDER624,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.,Credit for Educational Research 624 and 603.28 will not be allowed.,none
625,Teacher Evaluation,EDER625,Admission to a graduate program in Educational Research.,none,none
626,Ethnographic Research Approaches in Education ,EDER626,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.,Credit for Educational Research 626 and 603.29 will not be allowed.,none
628,Indigenous Methodologies in Education ,EDER628,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.,Credit for Educational Research 628 and 603.30 will not be allowed.,none
629,Special Topics in Assessment/Evaluation,EDER629,Admission to a graduate program in Educational Research.,none,none
630,Indigenous Research Methods in Education ,EDER630,Admission to a graduate program in Educational Research or consent of Graduate Programs in Education.,Credit for Educational Research 630 and 603.31 will not be allowed.,none
631,Special Topics in Adult Learning,EDER631,Admission to a graduate program in Educational Research.,none,none
635,Topics in Adult Learning,EDER635,Admission to a graduate program in Educational Research.,none,none
641,Research on the Reading Process,EDER641,Admission to a graduate program in Educational Research.,none,none
649,Special Topics in English Language Education,EDER649,Admission to a graduate program in Educational Research.,none,none
651,Philosophy of Education,EDER651,Admission to a graduate program in Educational Research.,none,none
653,Sociology of Education,EDER653,Admission to a graduate program in Educational Research.,none,none
655,Comparative Education,EDER655,Admission to a graduate program in Educational Research.,none,none
657,Culture and Gender Studies,EDER657,Admission to a graduate program in Educational Research.,none,none
659,History of Education,EDER659,Admission to a graduate program in Educational Research.,none,none
664,Language and Literacy: Theory and Research ,EDER664,Admission to a graduate program in Educational Research.,none,none
667,Second Language Reading and Writing,EDER667,Admission to a graduate program in Educational Research.,none,none
668,Theory and Research in Languages and Diversity,EDER668,Admission to a graduate program in Educational Research.,none,none
669,Aspects of Second Language and Culture,EDER669,Admission to a graduate program in Educational Research.,none,none
671,Conceptualizing Educational Technology,EDER671,Admission to a graduate program in Educational Research.,none,none
673,Instructional Design,EDER673,Admission to a graduate program in Educational Research.,none,none
675,Principles of Instructional Development,EDER675,Admission to a graduate program in Educational Research.,none,none
677,Distributed Learning,EDER677,Admission to a graduate program in Educational Research.,none,none
678,Special Topics in Learning Sciences,EDER678,Admission to a graduate program in Educational Research.,none,none
679,Special Topics in Educational Technology,EDER679,Admission to a graduate program in Educational Research.,none,none
