101,English Academic Success,EDUC101,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-based) program. ,none,none
201,Introduction to Educational Studies,EDUC201,Admission to the Bachelor of Education program or consent of the program.,none,none
205,Reading Educational Research,EDUC205,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-Based) program, or consent of the program.,none,none
207,How Children Learn to Read,EDUC207,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-Based) program, or consent of the program.,none,none
209,Supporting Children’s Reading,EDUC209,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-Based) program, or consent of the program.,none,Education 207.
211,Academic Writing in Education,EDUC211,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-Based) program, or consent of the program.,none,none
213,How Children Learn to Write,EDUC213,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-Based) program, or consent of the program.,none,none
215,Supporting Children’s Writing,EDUC215,Admission to Bridging to Community-Based BEd stream in the Bachelor of Education (Community-Based) program, or consent of the program.,none,Education 213.
305,Inside Mathematics,EDUC305,18 units at the 200 level, including Mathematics 211 or 213; and 271 or 273.,none,none
307,Integrating Arts Education,EDUC307,18 units at the 200 level.,none,none
309,Early Childhood Development,EDUC309,18 units at the 200 level.,none,none
311,Language and Literacy, Learning in the Classroom,EDUC311,18 units at the 200 level.,none,none
420,Issues in Learning and Teaching ,EDUC420,Admission to the Bachelor of Education program.,none,none
427,Science, Technology, Engineering and Mathematics (STEM),EDUC427,Admission to the corresponding route in the Bachelor of Education program.,none,none
430,Pragmatics of Learning and Teaching ,EDUC430,Admission to the Bachelor of Education program.,none,Education 440.
435,Literacy, Language and Culture ,EDUC435,Admission to the Bachelor of Education program.,none,none
440,Field Experience I ,EDUC440,none,none,none
445,Individual Learning: Theories and Applications ,EDUC445,Education 440 and admission to the Bachelor of Education program.,none,none
450,Diversity in Learning ,EDUC450,Education 440 and admission to the Bachelor of Education program.,none,none
456,Assessment ,EDUC456,Education 440 and admission to the Bachelor of Education program.,none,none
460,Specialization I ,EDUC460,Education 440 and admission to the corresponding teachable subject area in the Bachelor of Education program.,none,none
465,Field Experience II ,EDUC465,Education 440 and admission to the Bachelor of Education program. ,none,none
520,Interdisciplinary Learning  ,EDUC520,Education 465.,none,none
525,Ethics and Law in Education ,EDUC525,Education 465.,none,none
530,Indigenous Education ,EDUC530,Education 465.,none,none
535,Specialization II ,EDUC535,Education 465 and admission to the corresponding teachable subject area in the Bachelor of Education program.,none,none
540,Field Experience III ,EDUC540,Education 465.,none,none
546,Design-based Thinking ,EDUC546,Education 540 and admission to the corresponding route in the Bachelor of Education program. ,Credit for Education 546 and 545 or 550 will not be allowed.
          ,none
551,Comprehensive School Health and Wellness,EDUC551,Education 540 and admission to the corresponding route in the Bachelor of Education program. ,none,none
556,Professional Learning ,EDUC556,Education 540 and admission to the corresponding route in the Bachelor of Education program.,none,none
560,Field Experience IV ,EDUC560,Education 540.,none,none
570,Field Experience for Certification,EDUC570,Consent of the Department.,Credit for Education 570 and any of Education 440, 465, 540 or 560 will not be allowed.,none
