101,Computing Tools I,ENEL101,Engineering 233.,none,none
102,Computing Tools II,ENEL102,Electrical Engineering 101 and Applied Mathematics 307 or Mathematics 375. ,none,none
300,Electrical and Computer Engineering Professional Skills,ENEL300,Engineering 225, 233 and Electrical Engineering 353.,none,none
301,Instrumentation, Sensors and Interfacing,ENEL301,Engineering 200 and 225; 3 units from Computer Engineering 335, Software Engineering for Engineers 337 or Geomatics Engineering 333; and admission to either the mechatronics or aerospace minor. ,none,none
327,Signals and Transforms,ENEL327, Mathematics 375 or Applied Mathematics 307.,none,none
343,Circuits II,ENEL343,Engineering 225; and Mathematics 375 or Applied Mathematics 307.,none,Electrical Engineering 327.
353,Digital Circuits,ENEL353,Admission to Electrical Engineering or Software Engineering; or Computer Science 233 and Mathematics 271.,Credit for Electrical Engineering 353 and Computer Science 321 will not be allowed.,none
361,Electronic Devices and Materials,ENEL361,Engineering 225; and Mathematics 277 or Applied Mathematics 219.,none,none
400,Electrical Engineering Design and Technical Communications,ENEL400,Electrical Engineering 300, 327 and 343.,none,none
419,Probability and Random Variables,ENEL419,Electrical Engineering 327.,Credit for Electrical Engineering 419 and either Engineering 319 or Biomedical Engineering 319 will not be allowed.,none
441,Control Systems I,ENEL441, Electrical Engineering 327 and 343.,none,none
453,Digital Systems Design,ENEL453,Electrical Engineering 353 and Engineering 225.,none,none
469,Analog Electronic Circuits,ENEL469, Electrical Engineering 361.,none,none
471,Introduction to Communications Systems and Networks,ENEL471, Electrical Engineering 327.,none,none
475,Electromagnetic Fields and Applications,ENEL475, Physics 259 and Mathematics 375 or Applied Mathematics 307.,none,none
476,Electromagnetic Waves and Applications,ENEL476, Electrical Engineering 475.,none,none
487,Electrical Engineering Energy Systems,ENEL487,Engineering 225 or Energy Engineering 425.,none,none
500,Computer, Electrical, and Software Engineering Team Design,ENEL500,Fourth-year standing or above.,Credit for Electrical Engineering 500 and either 583 or 589 will not be allowed.,none
503,Computer Vision,ENEL503,Electrical Engineering 327; and 3 units from Computer Engineering 335, 339 or Software Engineering for Engineers 337.,none,none
514,Introduction to Nanotechnology,ENEL514,Electrical Engineering 361.,none,none
519,Special Topics in Electrical Engineering,ENEL519, Consent of the Department.,none,none
525,Machine Learning for Engineers,ENEL525, Electrical Engineering 327.,Credit for Electrical Engineering 525 and either Software Engineering for Engineers 411 or 544 will not be allowed.,none
529,Wireless Communications Systems,ENEL529, Electrical Engineering 471; and Engineering 319 or Electrical Engineering 419.,none,none
541,Control Systems II,ENEL541, Electrical Engineering 441 or Mechanical Engineering 585,,none,none
559,Analog Filter Design,ENEL559, Electrical Engineering 469 and 471.,none,none
562,Photovoltaic Systems Engineering,ENEL562,Electrical Engineering 361.,none,none
563,Biomedical Signal Analysis,ENEL563,Electrical Engineering 327.,none,none
565,Digital Integrated Electronics,ENEL565, Computer Engineering 467.,none,none
