203,Introductory Seminar,ENGL 203,none,Credit for English 203 and 201 will not be allowed. ,none
251,Literature and Society,ENGL 251,none,Credit for English 251 and 201 will not be allowed.,none
253,Studies in Genre,ENGL 253,none,Credit for English 253.02 and 351 will not be allowed.,none
265,Introductory Creative Writing,ENGL 265,none,none,none
302,Introduction to Contemporary Theory ,ENGL 302,6 units of courses labelled English.,none,none
303,Theories for Reading,ENGL 303,none,Credit for English 303 and 302 will not be allowed.    ,none
305,Literature Before 1700  ,ENGL 305,6 units of courses labelled English.,Credit for English 305 and 340 will not be allowed. ,none
307,Literature After 1700,ENGL 307,6 units of courses labelled English. ,Credit for English 307 and 340 will not be allowed. ,none
309,Literature and the Environment ,ENGL 309,none,Credit for English 309 and any of 383$ 387.03 or 387.30 will not be allowed. ,none
311,Shakespeare and Performance ,ENGL 311,none,Credit for English 311 and 205 will not be allowed.,none
322,Comics ,ENGL 322,none,Credit for English 322 and 388.04 will not be allowed.   ,none
333,Experiential Learning and Reading,ENGL 333,none,none,none
334,Literature and Community,ENGL 334,none,none,none
335,Creative Writing and Reading Like a Writer,ENGL 335,none,none,none
336,Introduction to Creative Writing Practice,ENGL 336,none,Credit for English 364 and 336.01 will not be permitted; credit for English 336.02 and 366 will not be permitted.,none
353,Drama: Reading and Analysis,ENGL 353,none,none,none
361,Gender and Sexuality in Literature ,ENGL 361,none,Credit for English 361 and any of 317$ 384 or 389 will not be allowed.,none
372,Canadian Literature,ENGL 372,none,none,none
376,Indigenous Literatures of Turtle Island,ENGL 376,none,Credit for English 376 and 385 will not be allowed.,none
378,Comparative Global Literatures,ENGL 378,none,Credit for English 378 and 391 will not be allowed. ,none
379,American Literature ,ENGL 379,none,Credit for English 379 and 382 will not be allowed. ,none
381,The History of English,ENGL 381, Linguistics 201.,none,none
387,Current Topics in English Studies  ,ENGL 387,none,none,none
388,Topics in Reading Popular Culture ,ENGL 388,none,none,none
393,Speculative Fiction I: Science Fiction,ENGL 393,none,none,none
395,Speculative Fiction II: Fantasy,ENGL 395,none,none,none
396,Literature for Young People ,ENGL 396,none,none,none
399,Detective Fiction,ENGL 399,none,none,none
401,Old English Language and Prose Literature,ENGL 401,12 units of courses labelled English at 300 level or above.   ,none,none
403,Old English Poetry,ENGL 403, English 401.,none,none
405,Middle English Literature: The Canterbury Tales,ENGL 405,12 units of courses labelled English at 300 level or above. ,none,none
406,Middle English Literature: Selected Works,ENGL 406,12 units of courses labelled English at 300 level or above.   ,none,none
410,Renaissance Literature and Culture I ,ENGL 410,12 units of courses labelled English at 300 level or above.   ,none,none
411,Renaissance Literature and Culture II ,ENGL 411,12 units of courses labelled English at 300 level or above.   ,none,none
412,Early English Drama ,ENGL 412,12 units of courses labelled English at 300 level or above.   ,none,none
413,Shakespeare and his Contemporaries ,ENGL 413,12 units of courses labelled English at 300 level or above.   ,none,none
422,Advanced Studies in Comics ,ENGL 422,12 units of courses labelled English at 300 level or above.   ,none,none
426,Selected Topics in Contemporary Theory ,ENGL 426,12 units of courses labelled English at 300 level or above. ,Credit for English 426 and 483 will not be allowed. ,none
429,Eighteenth-Century Poetry ,ENGL 429,12 units of courses labelled English at 300 level or above.   ,Credit for English 429 and 433 will not be allowed. ,none
431,Restoration Voices ,ENGL 431,12 units of courses labelled English at 300 level or above.   ,none,none
436,Creative Writing Workshop,ENGL 436,Consent of the Department. ,Credit for English 436.01 or 436.02 and 494 will not be allowed; credit for English 436.03 or 436.04 and 496 will not be allowed. ,none
438,Experiments in Early Fiction ,ENGL 438,12 units of courses labelled English at 300 level or above.   ,none,none
441,British Romanticism ,ENGL 441,12 units of courses labelled English at 300 level or above.   ,Credit for English 441 and 443 will not be allowed. ,none
445,Early to Mid-Victorian Literature ,ENGL 445,12 units of courses labelled English at 300 level or above.,Credit for English 445 and 447 will not be allowed.,none
449,Late Victorian Literature ,ENGL 449,12 units of courses labelled English at 300 level or above.   ,none,none
451,British Literature from 1900 to 1950,ENGL 451,12 units of courses labelled English at 300 level or above.   ,none,none
453,British Literature since 1950,ENGL 453,12 units of courses labelled English at 300 level or above.   ,none,none
459,Digital Research in Literary Studies,ENGL 459,12 units of courses labelled English at 300 level or above.   ,none,none
461,Early American Literature and the American Renaissance,ENGL 461,12 units of courses labelled English at 300 level or above.   ,none,none
463,American Literature from the Late 1800s to the Mid-1900s,ENGL 463,12 units of courses labelled English at 300 level or above.   ,none,none
465,American Literature since the Mid-1900s,ENGL 465,12 units of courses labelled English at 300 level or above.   ,none,none
471,Canadian Literature from its Origins to 1950,ENGL 471,12 units of courses labelled English at 300 level or above.   ,none,none
472,Advanced Studies in Young Adult Literature ,ENGL 472,12 units of courses labelled English at 300 level or above.   ,none,none
473,Canadian Literature since 1950,ENGL 473,12 units of courses labelled English at 300 level or above.   ,none,none
477,Literature and Science ,ENGL 477,12 units of courses labelled English at 300 level or above.   ,none,none
479,Studies in Text and Image ,ENGL 479,12 units of courses labelled English at 300 level or above.   ,none,none
481,Literary Theory Pre-1900,ENGL 481,12 units of courses labelled English at 300 level or above.   ,none,none
484,Advanced Studies in Poetry,ENGL 484,12 units of courses labelled English at 300 level or above.,none,none
486,Advanced Studies in Literature and the Environment ,ENGL 486,12 units of courses labelled English at 300 level or above.   ,none,none
487,Advanced Studies in Children’s Literature ,ENGL 487,12 units of courses labelled English at 300 level or above.   ,none,none
491,Advanced Studies in Global Literatures,ENGL 491,12 units of courses labelled English at 300 level or above.   ,none,none
493,Global Indigenous Literatures,ENGL 493,12 units of courses labelled English at 300 level or above.,none,none
495,Studies Across Literary History ,ENGL 495,12 units of courses labelled English at 300 level or above.   ,none,none
499,Topics: Selected Author ,ENGL 499,12 units of courses labelled English at 300 level or above.   ,none,none
504,Honours Project,ENGL 504,6 units of English at the 400 level$ admission to the English Honours program and consent of the Department.,none,none
508,Advanced Topics in a Literary Genre,ENGL 508,6 units of English at the 400 level. ,none,none
509,Advanced Topics: Canadian Literature ,ENGL 509,6 units of English at the 400 level.,none,none
515,Advanced Topics: Global/Indigenous Contexts ,ENGL 515,6 units of English at the 400 level.,none,none
517,Advanced Topics: Theoretical and Cultural Studies,ENGL 517,6 units of English at the 400 level.,none,none
519,Advanced Topics in a Historical Topic,ENGL 519,6 units of English at the 400 level.,none,none
520,Community Engagement through Literature ,ENGL 520,Consent of the Department. ,none,none
523,Advanced Topics: Book and Digital Culture  ,ENGL 523,6 units of English at the 400 level.,none,none
525,Advanced Topics: A National or Transnational Literature,ENGL 525,6 units of English at the 400 level. ,none,none
527,Advanced Topics: A Selected Author ,ENGL 527,6 units of English at the 400 level. ,none,none
529,Advanced Topics: Popular/Experimental Genres ,ENGL 529,6 units of English at the 400 level. ,none,none
593,Studies in Creative Writing: Poetry,ENGL 593,Consent of the Department.,none,none
594,Studies in Creative Writing: Prose Fiction,ENGL 594,Consent of the Department.,none,none
595,Studies in Creative Writing: Creative Non-Fiction,ENGL 595,Consent of the Department.,none,none
598,Studies in Creative Writing: The Book-Length Manuscript,ENGL 598,Consent of the Department. ,none,none
603,Topics in Genre,ENGL 603,none,none,none
605,Topics in National or Transnational Literatures,ENGL 605,none,none,none
607,Topics in Theoretical and Cultural Studies,ENGL 607,none,none,none
609,Topics in a Literary Period,ENGL 609,none,none,none
677,Topics in Canadian Literature,ENGL 677,none,none,none
681,Topics in Literary Criticism,ENGL 681,none,none,none
685,Special Topics,ENGL 685,none,none,none
691,Graduate Pro-seminar ,ENGL 691,none,none,none
693,Topics in Creative Writing: Poetry,ENGL 693,Consent of the Department.,none,none
694,Topics in Creative Writing: Prose Fiction,ENGL 694,Consent of the Department.,none,none
695,Topics in Creative Writing: Creative Non-Fiction,ENGL 695,Consent of the Department.,none,none
698,Topics in Creative Writing: The Book-Length Manuscript,ENGL 698,Consent of the Department.,none,none
710,Capstone Project,ENGL 710,Consent of the Department.,none,none
