101,Mechanical and Manufacturing Engineering Block Course,ENME 101,none,none,none
317,Mechanics of Deformable Solids I,ENME 317,Engineering 202; and Mathematics 275 or Applied Mathematics 217.,Credit for Mechanical Engineering 317 and Engineering 317 will not be allowed.,none
337,Computing Tools for Engineering Design,ENME 337,Engineering 233.,none,none
339,Engineering Graphics and CAD,ENME 339,Engineering 233.,none,none
341,Fundamentals of Fluid Mechanics,ENME 341, Engineering 201 and 349; and Mathematics 277 or Applied Mathematics 219.,none,none
421,Materials I,ENME 421,Engineering 311.,none,none
461,Foundations of Mechatronics,ENME 461,Engineering 225 and 349.,none,none
471,Heat Transfer,ENME 471, Engineering 311; and Mechanical Engineering 341 or Energy Engineering 480.,none,none
473,Fundamentals of Kinematics and Dynamics of Machines,ENME 473, Engineering 349.,none,none
479,Mechanics of Deformable Solids II,ENME 479,Mechanical Engineering 317 or Engineering 317.,none,none
485,Mechanical Engineering Thermodynamics,ENME 485, Engineering 311.,none,none
493,Machine Component Design,ENME 493,Engineering 349; and Mechanical Engineering 317 or Engineering 317.,none,none
495,Fluid Mechanics,ENME 495, Engineering 311 and Mechanical Engineering 341.,none,none
501,Mechanical Engineering Capstone Design Project I,ENME 501,Fourth-year standing or above.,Credit for Mechanical Engineering 501 and 538 will not be allowed.,none
502,Mechanical Engineering Capstone Design Project II,ENME 502,Mechanical Engineering 501.,Credit for Mechanical Engineering 502 and 538 will not be allowed.,none
505,Robotics,ENME 505,Mechanical Engineering 473 or Energy Engineering 460.,none,none
519,Special Topics in Mechanical Engineering,ENME 519, Consent of the Department.,none,none
521,Materials II,ENME 521,Mechanical Engineering 421.,none,none
547,Finite Element Method,ENME 547, Mechanical Engineering 479.,Credit for Mechanical Engineering 547 and either 619.01 or 647 will not be allowed.,none
561,Mechatronics Design Laboratory I ,ENME 561,Mechanical Engineering 461. ,Credit for Mechanical Engineering 561 and any of 560$ 660 or 661 will not be allowed.,none
562,Mechatronics Design Laboratory II ,ENME 562,Mechanical Engineering 561; and Mechanical Engineering 585 or Electrical Engineering 441  , Credit for Mechanical Engineering 562 and any of 560$ 660 or 662 will not be allowed.,none
570,Aerodynamics ,ENME 570,Mechanical Engineering 495. ,Credit for Mechanical Engineering 570 and any of 519.06$ 619.31 or 670 will not be allowed.,none
