201,Introduction to Film Studies,FILM 201,none,none,none
203,Introduction to Research in Film Studies,FILM 203,none,none,Prerequisite or Corequisite: Film 201.
301,Topics in National Cinema,FILM 301,none,none,none
305,Topics in Genre,FILM 305,none,none,none
307,Topics in Cinema and Gender Studies,FILM 307,none,none,none
321,History of Popular Cinema,FILM 321, Film 201.,none,none
323,Issues in Film History,FILM 323, Film 201.,none,none
331,Film Theory up to 1950,FILM 331, Film 201.,none,none
333,Film Theory after 1950,FILM 333, Film 201.,none,none
351,Canadian Film,FILM 351,none,Credit for Film 351 and Canadian Studies 331 will not be allowed.,none
401,Topics in Film Theory,FILM 401, Film 331 or 333.,none,none
403,Topics in the Directorsinglequotes Cinema,FILM 403, Film 201.,none,none
405,Advanced Topics in Film Genre,FILM 405,Film 201 and 3 units from 305 or 321. ,none,none
407,Experiential Learning in Film,FILM 407, Film 201$ admission to the BA in Film Studies or the Bachelor of Film Studies and consent of the Department.,none,none
409,Special Topics in Film Studies,FILM 409,3 units from Film 321$ 331 or 333. ,none,none
441,The Film Festival,FILM 441, Film 321.,none,none
451,The Canadian Film Industry: National and Global Perspectives,FILM 451,3 units of courses labelled Film$ Communication and Media Studies$ Communications Studies$ or Canadian Studies at the 300 level.,none,none
461,Film Audience and Reception,FILM 461,3 units from Film 321$ 331 or 333. ,none,none
471,Experimental Film and Video,FILM 471,3 units from Film 321$ 331 or 333.,none,none
501,Research in Selected Topics in Film Studies,FILM 501,Consent of the Department.,none,none
509,Advanced Special Topics in Film Studies,FILM 509,6 units of courses labelled Film at the 400 level.,none,none
591,Senior Seminar in Film Studies,FILM 591,Admission to the BA in Film Studies and 78 units$ of which$ 6 units must be taken from Film 321$ 323$ 331$ or 333. ,none,none
595,Honours Seminar,FILM 595,Admission to BA Honours Film Studies.,Credit for Film 595 and Film 590 or Communication and Media Studies 590 will not be allowed.,none
597,Honours Thesis ,FILM 597,Film 595 and admission to BA Honours in Film Studies. ,Credit for Film 597 and Film 590 or Communication and Media Studies 590 will not be allowed. ,none
