209,Beginnerssinglequote French I,FREN209,none,Credit for French 209 and any of 20, 30, or 31 will not be allowed,none
211,Beginnerssinglequote French II,FREN211, French 20 or French 209.,Credit for French 211 and either 30 or 31 will not be allowed.,none
213,Intermediate French,FREN213,One of French 211, 30, or N30.,Credit for French 213 and any of French Language Arts 30, Français 30, French 215, 217 or 225 will not be allowed.,none
225,La Grammaire par les textes I,FREN225,Prérequis: French 30N ou 30S ou 31 (ou équivalents), ou French Language Arts 30, ou French 213.,Anti-prérequis: Les étudiants qui ont pris le cours French 315 ne peuvent ssinglequoteinscrire en French 225.,none
227,La Grammaire par les textes II,FREN227,Prérequis: French 225.,Anti-prérequis: Les étudiants qui ont pris French 315 ou 317 ne peuvent ssinglequoteinscrire en French 227.,none
291,Francophonie: Langue et Culture I ,FREN291,Prérequis: French 30N ou 30S ou 31 (ou équivalents), ou French Language Arts 30, ou French 213.,Anti-prérequis: Les étudiants qui ont pris le cours French 215 ne peuvent ssinglequoteinscrire en French 291.,none
329,Expression écrite et orale,FREN329,Prérequis: French 227. ,Anti-prérequis: Les étudiants qui ont pris le cours French 415 ne peuvent ssinglequoteinscrire en French 329.,none
339,Concepts littéraires,FREN339,Prérequis: French 227.,none,none
343,Cinéma de langue française,FREN343,Prérequis: French 227.,none,none
353,Histoire littéraire,FREN353,Prérequis: French 227.,none,none
369,Introduction à la linguistique française,FREN369,Prérequis: French 227.,none,none
391,Francophonie: langue et culture II,FREN391,Prérequis: French 227.,none,none
393,Français professionnel, domaines variés ,FREN393,Prérequis: French 227.,none,none
399,Langue française, littérature et culture, matières variées,FREN399,Prérequis: French 227.,none,none
439,Le Canada francophone,FREN439,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.,none,none
449,Littératures francophones ,FREN449,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.,none,none
453,Littérature du Moyen-Âge et de la Renaissance,FREN453,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.,none,none
455,Littérature du XVIIe siècle,FREN455,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.,none,none
457,Littérature du XVIIIe siècle,FREN457,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.  ,none,none
459,Littérature du XIXe siècle,FREN459,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French. ,none,none
463,Littérature des XXe-XXIe siècles,FREN463,Prérequis: French 329, plus 339, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.,none,none
489,Aspects de la linguistique française,FREN489,Prérequis: French 369, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French.,Anti-prérequis: Les étudiants qui ont suivi le cours French 349 ne peuvent ssinglequoteinscrire en French 489.01 (Phonologie).,none
499,Langue française, littérature et culture II, matières variées,FREN499,Prérequis: French 329, plus 6 autres unités puisées dans les cours du niveau 300 qui portent lsinglequoteétiquette French. ,none,none
511,Théories critiques, domaines variés ,FREN511,Prérequis: 9 unités dans les cours du niveau 400 qui portent l’étiquette French. ,none,none
525,Études indépendantes: apprentissage expérientiel,FREN525,Prérequis: Autorisation de la Division d’études françaises et francophones. ,none,none
539,Étude spécialisée du Canada français,FREN539,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French. ,none,none
543,Étude spécialisée du Cinéma de langue française,FREN543,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French. ,none,none
549,Étude spécialisée de la francophonie,FREN549,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French. ,none,none
565,Étude spécialisée de littérature française,FREN565,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French. ,none,none
579,Étude spécialisée de linguistique française,FREN579,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French. ,Anti-prérequis: Les étudiants qui ont pris le cours French 479 ne peuvent ssinglequoteinscrire en French 579.,none
598,Mémoire de baccalauréat spécialisé,FREN598,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French, acceptation dans le programme du baccalauréat spécialisé (Honours) et autorisation de la Division d’études françaises et francophones.,none,none
599,Études spécialisées de la langue, de la littérature ou de la culture,FREN599,Prérequis: 9 unités puisées dans les cours du niveau 400 qui portent l’étiquette French. ,none,none
605,Problématiques littéraires ,FREN605,none,none,none
609,Problématiques linguistiques,FREN609,none,none,none
625,Études cinématographiques,FREN625,none,none,none
635,Le texte narratif,FREN635,none,none,none
637,Études théâtrales,FREN637,none,none,none
639,Poésie de langue française,FREN639,none,none,none
655,Francophonies,FREN655,none,none,none
675,Féminismes et Gender,FREN675,none,none,none
685,Voix québécoises et canadiennes,FREN685,none,none,none
689,Arts et Cultures,FREN689,none,none,none
691,Autour dsinglequoteun auteur,FREN691,none,none,none
695,Profession et recherche,FREN695,none,none,none
