200,Made in Germany,GERM200,none,none,none
202,German I,GERM202,none,Credit for German 202 and any of 30, 31, 213 or 305 will not be allowed.,none
204,German II,GERM204, German 202.,Credit for German 204 and German 30 or 31 will not be allowed.,none
317,Topics in German Cultural History,GERM317,none,none,none
331,Continuing German I,GERM331,One of German 30 or 30-3Y, 204, 223, 302, or 303.,none,none
333,Continuing German II,GERM333, German 331.,none,none
349,German Studies Research Methods  ,GERM349,Consent of the School of Languages, Linguistics, Literatures and Cultures.,none,none
353,Structure of German,GERM353,German 333.,none,none
357,Topics in Film,GERM357,none,none,none
359,Topics in German Texts in Translation,GERM359,none,none,none
369,Telling Stories: Exploring German Literature,GERM369,German 333. ,none,none
413,Intermediate German: Speaking and Listening,GERM413,German 333.,none,none
415,Intermediate German: Reading and Writing,GERM415,German 333.,none,none
467,Topics in Advanced German Linguistics,GERM467,German 353.,none,none
469,Topics in Culture Change: Concepts and Critique,GERM469, Consent of the School of Languages, Linguistics, Literatures and Cultures.,none,none
497,Inter-Cultural Immersion Experience ,GERM497,Consent of the School of Languages, Linguistics, Literatures and Cultures.,none,none
500,Topics in Advanced Communication and Projects in German,GERM500,German 413 or 415.,Credit for German 500 and 503 will not be allowed.,none
551,Independent Study,GERM551, Consent of the School of Languages, Linguistics, Literatures and Cultures.,none,none
561,Topics in New Research Directions in German Studies,GERM561,German 469.,none,none
591,Honours Project,GERM591, Consent of the School of Languages, Linguistics, Literatures and Cultures.,none,none
627,Seminar in German Literature and Culture,GERM627,none,none,none
629,Seminar in German Language and Linguistics,GERM629,none,none,none
631,Seminar in German Language Pedagogy,GERM631,none,none,none
696,Bibliography, Research Methods and Grant Proposal Writing,GERM696,none,none,none
699,Conference Course,GERM699,none,none,none
