201,Principles of Geoscience,GLGY201,none,Credit for Geology 201 and either 209 or 471 will not be allowed.,none
202,Applications of Geoscience,GLGY202,Geology 201.,Credit for Geology 202 and 203 will not be allowed.,none
209,Introduction to Geology,GLGY209,none,Credit for Geology 209 and 201 will not be allowed.,none
297,Topics in Geology ,GLGY297,none,none,none
301,Geology of the Mountain Regions of Western Canada,GLGY301, Geology 201 or 209.,none,none
305,Introduction to Dinosaurs,GLGY305,none,none,none
307,Geological History of Life,GLGY307,none,none,none
308,Geology and Human Health,GLGY308,Geology 201 or 209.,none,none
313,Mineralogy,GLGY313,Geology 201 and 202; and Chemistry 201 or 211; and 3 units from Mathematics 249, 265 or 275; and Physics 211 or 221.,Credit for Geology 313 and 423 will not be allowed.,none
323,Geochemical Processes,GLGY323, Geology 313; and Chemistry 201 or 211; and Chemistry 203 or 213.,none,none
333,Igneous, Metamorphic and Ore Rocks and Processes,GLGY333,Geology 313; and Chemistry 201 or 211; and Chemistry 203 or 213.,Credit for Geology 333 and 311 will not be allowed.,none
337,Introduction to Geologic Field Methods,GLGY337,Geology 333, 343, 381 and admission to programs in Geology or Geophysics Environmental Science (Geology concentration) or Natural Sciences (Geoscience concentration) and consent of the Department. ,none,none
343,3D Geologic Structures and Methods,GLGY343,Geology 381.,none,none
353,Surficial Systems,GLGY353,Geology 201 and 202; and Chemistry 203 or 213; and Physics 223; and Physics 211 or 221; and Mathematics 267 or 277.,Credit for Geology 353 and 373 will not be allowed.,none
377,Petroleum Engineering Geology,GLGY377,Admission to Schulich School of Engineering.,Credit for Geology 377 and 201 will not be allowed. This course is not open to Geology majors.,none
381,Sedimentary Rocks and Processes,GLGY381,Geology 201 and 202; and 3 units from Chemistry 201, 211, 203 or 213; and Physics 211 or 221. ,none,none
401,Physical Hydrogeology,GLGY401,Geology 353 or Geophysics 457.,Credit for Geology 401 and 601 will not be allowed.,none
403,Aqueous Geochemistry ,GLGY403,Geology 323. ,Credit for Geology 403 and 503 will not be allowed.,none
