205,Introduction to Greece and Rome,GRST 205,none,none,none
209,Classical Mythology and Literature,GRST 209,none,none,none
211,Technical Terms of Medicine and the Life Sciences,GRST 211,none,none,none
305,Greek Religion,GRST 305,3 units from Greek and Roman Studies 205$ 209$ Religious Studies 201$ 205$ 273.,none,none
306,Roman Religion,GRST 306,3 units from Greek and Roman Studies 205$ 209$ Religious Studies 201$ 205$ 273.,none,none
309,Comparative Mythology,GRST 309,none,none,none
311,Sport in Ancient Greece and Rome,GRST 311,none,none,none
313,The Ancient Novel and Its Predecessors,GRST 313,none,none,none
315,Women and the Family in the Greek and Roman World,GRST 315,none,none,none
317,Humorous Prose:  From Rome to the Renaissance,GRST 317,none,none,none
321,Ancient Technology,GRST 321,none,none,none
323,Ancient Medicine and the Mind,GRST 323,none,none,none
325,Greek Art and Architecture,GRST 325,none,none,none
327,Roman Art and Architecture,GRST 327,none,none,none
335,The Ancient Near East to Alexander the Great,GRST 335,none,none,none
337,Early Greece,GRST 337,none,none,none
339,History of Classical Greece,GRST 339,none,none,none
341,History of Romesinglequotes Expansion into the Mediterranean to 30 BCE,GRST 341,none,none,none
345,Rome: The Late Republic and Early Empire,GRST 345,none,none,none
347,Late Roman Antiquity,GRST 347,none,none,none
355,Warriors and Lovers: Greek Literature in Translation,GRST 355,none,none,none
357,Myths$ Slaves and Heroes: Roman Literature in Translation,GRST 357,none,none,none
413,Topics in Early and Classical Greek History,GRST 413,none,none,none
415,Topics in Hellenistic and Roman Republican History,GRST 415,none,none,none
417,Topics in the History of the Roman Empire,GRST 417,none,none,none
419,Topics in Late Antiquity,GRST 419,none,none,none
421,Topics in Greek and Roman Political and Military History,GRST 421,none,none,none
423,Topics in Greek and Roman Social and Economic History,GRST 423,none,none,none
425,Topics: Greeks$ Romans and Other Cultures,GRST 425,none,none,none
431,Studies in Ancient Myths,GRST 431,Greek and Roman Studies 209.,none,none
433,Topics in Greek and Roman Religion$ Intellectual and Cultural History,GRST 433,none,none,none
445,Topics in Greek Art and Archaeology,GRST 445,none,none,none
447,Topics in Roman Art and Archaeology,GRST 447,none,none,none
455,Topics in Greek Literature in Translation,GRST 455,none,none,none
457,Topics in Latin Literature in Translation,GRST 457,none,none,none
459,Topics in Ancient Greece and Rome on Film,GRST 459,none,none,none
483,Practicum,GRST 483,Consent of the Department.,none,none
491,Field Work,GRST 491,Consent of the Department.,none,none
494,Field Work,GRST 494,Consent of the Department.,none,none
499,Topics in Ancient and Medieval Historiography,GRST 499,none,none,none
501,Majors’ Special Topic,GRST 501,Admission to one of Greek and Roman Studies or Ancient and Medieval History majors and completion of 90 units and consent of the Department.,none,none
504,Honours Thesis,GRST 504,Admission to the Honours programs in Greek and Roman Studies or Ancient and Medieval History and completion of 90 units and consent of the Department.,none,none
525,Advanced Topics in Greek and Roman Studies ,GRST 525,none,none,none
551,Directed Research,GRST 551,Consent of the Department.,none,none
601,Graduate Seminar,GRST 601,none,none,none
603,Research and Professional Training,GRST 603,none,none,none
651,Directed Studies,GRST 651,Consent of the Department.,none,none
