201,Latin I,LATI201,none,Credit for Latin 201 and 205 will not be allowed. ,none
203,Latin II,LATI203,Latin 201 or 205.,Credit for Latin 203 and 207 will not be allowed.,none
205,The Latin of Science I,LATI205,none,Credit for Latin 205 and 201 will not be allowed.,none
207,The Latin of Science II,LATI207,Latin 205 or 201.,Credit for Latin 207 and 203 will not be allowed.,none
301,Latin III,LATI301,Latin 203 or 207.,none,none
303,Intermediate Readings in Classical and Post-Classical Texts,LATI303,Latin 301.,none,none
401,Topics in Latin Prose,LATI401,Latin 303.,none,none
403,Topics in Latin Poetry,LATI403,Latin 303.,none,none
551,Directed Studies in Latin,LATI551,Consent of the Department.,none,none
601,Graduate Seminar,LATI601,none,none,none
602,Introductory Language Class for Graduate Students,LATI602,none,none,none
604,Intermediate Language Class for Graduate Students  ,LATI604,none,none,none
607,Directed Studies,LATI607,none,none,none
