400,Constitutional Law,LAW 400,none,none,none
402,Contracts,LAW 402,none,none,none
403,Legislation,LAW 403,none,none,none
404,Property,LAW 404,none,none,none
406,Torts,LAW 406,none,none,none
407,Foundations in Law and Justice I,LAW 407,none,none,none
408,Foundations in Law and Justice II,LAW 408,none,none,none
410,Crime: Law and Procedure,LAW 410,none,none,none
503,Administrative Law,LAW 503,none,none,none
505,Civil Procedure,LAW 505,none,none,none
507,Evidence,LAW 507,none,none,none
508,Negotiation,LAW 508,none,none,none
509,Business Associations,LAW 509,none,none,none
510,Ethical Lawyering,LAW 510,none,none,none
511,Criminal Process,LAW 511,none,none,none
515,Family Law,LAW 515,none,none,none
519,Jurisprudence,LAW 519,none,none,none
521,Real Estate Transactions,LAW 521,none,none,none
525,Bankruptcy and Restructuring Law,LAW 525,none,none,none
527,Basic Tax Law,LAW 527,none,none,none
529,Biotechnology and the Law,LAW 529,none,none,none
530,Mining Law,LAW 530,none,none,none
531,Environmental Law,LAW 531,none,none,none
533,Wills and Estates,LAW 533,none,none,none
535,Secured Transactions,LAW 535,none,none,none
536,International Criminal Law,LAW 536,none,none,none
537,Sale of Goods,LAW 537,none,none,none
543,Intellectual Property Law,LAW 543,none,none,none
547,Human Rights Law,LAW 547,none,none,none
549,International Law,LAW 549,none,none,none
551,Unjust Enrichment,LAW 551,none,none,none
553,Insurance Law,LAW 553,none,none,none
557,Commercial Arbitration Law,LAW 557,none,none,none
559,Critical Legal Theories,LAW 559,none,none,none
561,Employment Law,LAW 561,none,none,none
563,International Human Rights and Humanitarian Law,LAW 563,none,none,none
565,Internet Law,LAW 565,none,none,none
567,Law and Economics,LAW 567,none,none,none
569,Law and Literature,LAW 569,none,none,none
571,Oil and Gas Law,LAW 571,none,none,none
573,Public Lands and Natural Resources Law,LAW 573,none,none,none
575,Remedies,LAW 575,none,none,none
577,Tax Policy,LAW 577,none,none,none
579,Legal Theory$ Selected Topics,LAW 579,none,none,none
581,Unsecured Creditors’ Remedies,LAW 581,none,none,none
583,Water Law,LAW 583,none,none,none
585,Alberta Court of Appeal Moots,LAW 585,Consent of the Faculty.,none,none
587,Kawaskimhon National Aboriginal Moot,LAW 587,Consent of the Faculty.,none,none
589,Labour Arbitration Moot,LAW 589,Consent of the Faculty.,none,none
591,Provincial Court Clerkships,LAW 591,Consent of the Faculty.,none,none
593,Health Law,LAW 593,none,none,none
594,Indigenous Peoples and the Law,LAW 594,none,none,none
595,Canadian Legal History ,LAW 595,none,none,none
596,Feminist Legal Theory ,LAW 596,none,none,none
597,International Trade Law ,LAW 597,none,none,none
598,Trusts,LAW 598,none,none,none
599,Legal Practice$ Selected Topics,LAW 599,none,none,none
601,Advanced Criminal Law,LAW 601,none,none,none
602,Advocacy,LAW 602,none,none,none
605,Oil and Gas Contracts,LAW 605,none,none,Prerequisite or Corequisite: Law 571.
606,Moot in French,LAW 606,Consent of the Faculty.,none,none
607,Advanced Legal Research,LAW 607,none,none,none
608,Common Law en Français,LAW 608,Consent of the Faculty.,none,none
610,Internship in French,LAW 610,Consent of the Faculty.,none,none
612,Advanced Private Law,LAW 612,none,none,Prerequisite or Corequisite: Law 402$ 406 and 551.
613,Conflict of Laws,LAW 613,none,none,none
614,Advanced Topics French Common Law,LAW 614,Consent of the Faculty.,none,none
615,Advanced Civil Procedure,LAW 615,none,none,Prerequisite or Corequisite: Law 505.
616,Public Interest Theory,LAW 616,none,none,Law 620.
617,Alternative Energy Law: Renewable Energy and Energy Efficiency,LAW 617,none,none,Prerequisite or Corequisite: Law 503.
618,Corporate Finance Law,LAW 618,none,none,Prerequisite or Corequisite: Law 509.
619,Estate Planning,LAW 619,none,none,Prerequisite or Corequisite: Law 527. 
620,Public Interest Practice,LAW 620,none,none,Law 616.
621,Corporate Governance and Litigation,LAW 621,none,none,Prerequisite or Corequisite: Law 505 and 509.
622,Law of the Sea,LAW 622,none,none,none
623,Environmental Impact Assessment Law,LAW 623,none,none,Prerequisite or Corequisite: Law 503.
624,Environmental Law and Ethics,LAW 624,none,none,none
625,Intellectual Property Transactions,LAW 625,none,none,Prerequisite or Corequisite: Law 543.
626,International Development Law,LAW 626,none,none,Prerequisite or Corequisite: One of Law 549$ 597 or 563.
627,International Environmental Law,LAW 627,none,none,none
628,International Investment Law,LAW 628,none,none,Prerequisite or Corequisite: Law 549 or 597.
630,International Petroleum Transactions,LAW 630,none,none,none
631,International Tax Law,LAW 631,none,none,Prerequisite or Corequisite: Law 527.
632,Entrepreneurial Law,LAW 632,none,none,none
634,Law of Species and Spaces,LAW 634,none,none,Prerequisite or Corequisite: Law 503.
636,Municipal Law,LAW 636,none,none,Prerequisite or Corequisite: Law 503.
637,Energy Law,LAW 637,none,none,Prerequisite or Corequisite: Law 503.
638,Climate Change Law,LAW 638,none,none,none
640,Energy Transportation and Infrastructure,LAW 640,none,none,none
641,Oil and Gas and Mining Taxation,LAW 641,none,none,Prerequisite or Corequisite: Law 697.
642,Law and Development,LAW 642,none,none,none
644,National Security Law Lab,LAW 644,none,none,none
645,Pollution Control and Waste Management Law,LAW 645,none,none,Prerequisite or Corequisite: Law 503 and 531.
646,Bennett Jones Health Law Moot,LAW 646,Consent of the Faculty.,none,none
647,Regulatory Theory and the Law,LAW 647,none,none,Prerequisite or Corequisite: Law 503.
648,Securities Law,LAW 648,none,none,none
650,Business Skills for Lawyers,LAW 650,none,none,none
652,Willms & Shier Environmental Law Moot,LAW 652,Consent of the Faculty.,none,none
653,Directed Research,LAW 653,Consent of the Faculty.,none,none
654,Bowman National Tax Moot,LAW 654,Consent of the Faculty.,none,none
656,Mergers and Acquisitions,LAW 656,none,none,none
663,Dispute Resolution Clinical,LAW 663,none,none,Prerequisite or Corequisite: Law 508. 
667,Advanced Public Law,LAW 667,Law 400.,none,none
673,Jessup Moot,LAW 673,Consent of the Faculty.,none,none
674,Business Venture Clinic,LAW 674,none,none,none
677,Canadian Corporate/Securities Law Moot,LAW 677,Consent of the Faculty.,none,none
678,The Gale Cup Moot,LAW 678,Consent of the Faculty.,none,none
683,Advanced Family Law,LAW 683,none,none,Prerequisite or Corequisite: Law 515.
685,Business Clinical ,LAW 685,none,none,Prerequisite or Corequisite: Law 509.
686,SLA Clinical Theory,LAW 686,none,none,Law 688.
687,Criminal Justice Clinical ,LAW 687,none,none,Prerequisite or Corequisite: Law 511.
688,SLA Clinical Practice,LAW 688,none,none,Law 686.
689,Family Law Clinical Seminar,LAW 689,none,none,Prerequisite or Corequisite: Law 515.
690,Western Canada MacIntyre Cup Trial Competition,LAW 690,Consent of the Faculty.,none,none
691,Natural Resources$ Energy and Environmental Law Clinical ,LAW 691,none,none,Prerequisite or Corequisite: One of Law 531$ 571$ 573$ 583 or 637.
692,Selected Topics I,LAW 692,none,none,none
693,Selected Topics II,LAW 693,none,none,none
694,Selected Topics III,LAW 694,none,none,none
695,External Competitions,LAW 695,Consent of the Faculty.,none,none
696,Clinical Studies,LAW 696,Consent of the Faculty.,none,none
697,Corporate Tax,LAW 697,none,none,Prerequisite or Corequisite: Law 509 and 527.
698,Immigration and Refugee Law,LAW 698,none,none,Prerequisite or Corequisite: Law 503.
699,Labour Law ,LAW 699,none,none,Prerequisite or Corequisite: Law 503.
703,Graduate Seminar in Legal Research and Methodology,LAW 703,Admission to the LLM program or consent of the Graduate Director.  ,none,none
705,Graduate Seminar in Legal Theory,LAW 705,Admission to the LLM program or consent of the Graduate Director.,none,none
706,Major Research Paper,LAW 706,Admission to the LLM program or consent of the Graduate Director.,none,none
