201,Introduction to Linguistics I,LING 201,none,Credit for Linguistics 201 and either 205 or 207 will not be allowed.,none
202,Introduction to Linguistics II,LING 202,Linguistics 201. ,Credit for Linguistics 202 and 205 or 207 will not be allowed.,none
221,Modern English Grammar ,LING 221,none,Credit for Linguistics 221 and 321 will not be allowed.,none
223,Language and Advertising,LING 223,none,none,none
225,Varieties of English,LING 225,none,none,none
227,Rap Linguistics,LING 227,none,none,none
301,Syntax I,LING 301, Linguistics 201.,none,none
303,Phonology I,LING 303, Linguistics 201.,none,none
309,Language and Power,LING 309,none,none,none
316,Language Acquisition I,LING 316,Linguistics 201.,none,none
319,Introduction to Semantics,LING 319, Linguistics 201.,none,none
337,Introduction to Speech-Language Pathology,LING 337,Linguistics 201.,Credit for Linguistics 337 and 437 will not be allowed.,none
341,Phonetics I,LING 341, Linguistics 201.,none,none
349,Language and Mind,LING 349, Linguistics 201.,none,none
353,Historical Linguistics I,LING 353, Linguistics 201.,none,none
373,Introduction to Sociolinguistics,LING 373, Linguistics 201.,none,none
377,Introduction to Pragmatics,LING 377, Linguistics 201.,none,none
381,The History of English,LING 381, Linguistics 201.,none,none
401,Syntax II,LING 401, Linguistics 301.,none,none
403,Phonology II,LING 403, Linguistics 303.,none,none
407,Morphology I,LING 407,none,none,Prerequisite or Corequisite: Linguistics 303.
416,Language Acquisition II,LING 416,Linguistics 316.,none,none
419,Advanced Semantics,LING 419, Linguistics 319.,none,none
441,Phonetics II,LING 441, Linguistics 341.,none,none
451,History of Linguistic Thought,LING 451, Linguistics 301 or 303.,none,none
453,Historical Linguistics II,LING 453, Linguistics 353.,none,none
455,Typology,LING 455, Linguistics 201 and 301.,none,none
467,Experimental Psycholinguistics,LING 467,Linguistics 201.,Credit for Linguistics 467 and either 339 or 439 will not be allowed.,none
505,Field Methods for Indigenous Languages,LING 505, Linguistics 301 and 303.,none,none
507,Morphology II,LING 507,Linguistics 401 and 407.,Credit for Linguistics 507 and either 551.02 or 599.13 will not be allowed.,none
511,Advanced Syntactic Analysis,LING 511, Linguistics 401.,none,none
512,Advanced Phonological Analysis,LING 512,Linguistics 403.,none,none
516,Topics in Language Acquisition,LING 516,Linguistics 416.,none,none
519,Formal Semantics of Natural Language,LING 519,Philosophy 279 or 377. ,Credit for Linguistics 519 and 509 will not be allowed.,none
531,Survey of Indigenous Languages of the Americas,LING 531,Linguistics 301 or 303.,none,none
551,Topics in Linguistic Analysis,LING 551,Linguistics 301 or 303.,none,none
553,Topics in Historical Linguistics,LING 553,Linguistics 453.,none,none
560,Statistics for Linguistic Research,LING 560,Consent of the Linguistics Division of the School of Languages$ Linguistics$ Literatures and Cultures.,none,none
571,Corpus and Experimental Methods for Syntax and Semantics,LING 571,Linguistics 319 and 401.,none,none
598,Independent Research,LING 598,Admission to the Linguistics Honours degree program.,none,none
599,Advanced Topics in Linguistics ,LING 599,Consent of the Linguistics Division of the School of Languages$ Linguistics$ Literatures and Cultures.,none,none
600,Introduction to Graduate Studies in Linguistics,LING 600,none,none,none
605,Field Methods,LING 605, Consent of the program.,none,none
611,Advanced Syntactic Analysis ,LING 611,Consent of the program.,none,none
613,Advanced Phonological Analysis,LING 613, Linguistics 403 and consent of the program.,none,none
631,Topics in Linguistic Theory,LING 631, Consent of the program.,none,none
633,Topics in Language Acquisition,LING 633, Consent of the program.,none,none
635,Analysis of a Language or Language Family,LING 635, Consent of the program.,none,none
651,Topics in Historical Linguistics,LING 651,none,none,none
660,Quantitative Modelling of Linguistic Data,LING 660,Consent of the program.,none,none
671,Methods for Corpus and Experimental Studies in Syntax and Semantics,LING 671,Consent of the program.,Credit for Linguistics 671 and 699.07 will not be allowed. ,none
697,Thesis Research Development,LING 697,none,none,none
699,Conference and Reading Course,LING 699,none,none,none
797,Senior Doctoral Seminar,LING 797,none,none,none
