201,Introduction to Legal Studies,LWSO 201,none,none,none
203,Introduction to Legal Knowledge,LWSO 203,none,none,none
313,Research Methods in Law and Society,LWSO 313,Law and Society 201 and 203.,none,none
335,Equality Issues,LWSO 335,Law and Society 201 and 203. ,none,none
337,Self-Regulation,LWSO 337,Law and Society 201 and 203.,none,none
401,Topics in Law and Society,LWSO 401,3 units in courses labelled Law and Society at the 300 level.,none,none
413,Liberalism,LWSO 413,Law and Society 335 and 337$ 60 units and admission to the Law and Society program.,Credit for Law and Society 413 and 412 will not be allowed. ,none
415,Socio-legal Issues in Contemporary Liberal Societies,LWSO 415,Law and Society 413$ 60 units and admission to the Law and Society program.,Credit for Law and Society 415 and 412 will not be allowed.,none
425,Law and Technology,LWSO 425,Law and Society 335$ 337$ 60 units.,none,none
501,Directed Reading ,LWSO 501,Consent of the Department.,none,none
590,Law and Society Honours Thesis and Seminar ,LWSO 590,3 units from the list of Research Methods Courses within Courses Constituting the Field of Law and Society; admission to the Law and Society Honours program; and consent of the Department.,none,none
591,Integrative Seminar,LWSO 591,Law and Society 413 and 415$ 90 units and admission to the Law and Society major.,none,none
