177,Further Topics from Mathematics 277 ,MATH 177,Mathematics 267; and Mathematics 211 or 213.,none,none
205,Mathematical Explorations,MATH 205,Mathematics 30-1$ 30-2$ or Mathematics 2 (offered by Continuing Education).,none,none
209,Applied and Computational Linear Algebra for Energy Engineers,MATH 209,Admission to the Energy Engineering Program.,none,none
211,Linear Methods I,MATH 211,Mathematics 30-1 or Mathematics 2 (offered by Continuing Education).,Credit for Mathematics 211 and 213 will not be allowed.,none
213,Linear Algebra I,MATH 213,A grade of 90 per cent or higher in both Mathematics 30-1 and Mathematics 31 or consent of the Department. ,Credit for Mathematics 213 and 211 will not be allowed.,none
249,Introductory Calculus,MATH 249,Mathematics 30-1 or Mathematics 2 (offered by Continuing Education).,Not open to students with 50 per cent or higher in Mathematics 31 or a grade of "C" or higher in Mathematics 3 offered through University of Calgary Continuing Education$ except with special departmental permission. Credit for Mathematics 249 and either 265 or 275 will not be allowed.,none
265,University Calculus I ,MATH 265,Mathematics 30-1 or Mathematics 2 (offered by Continuing Education); and Mathematics 31 or Mathematics 3 (offered by Continuing Education).,Credit for Mathematics 265 and either 249 or 275 will not be allowed. ,none
267,University Calculus II,MATH 267,3 units from Mathematics 249$ 265 or 275.,Credit for Mathematics 267 and 277 will not be allowed. ,none
271,Discrete Mathematics,MATH 271,Mathematics 211 or 213.,none,none
273,Numbers and Proofs,MATH 273,A grade of 90 per cent or higher in both Mathematics 30-1 and 31 or consent of the Department.,none,none
275,Calculus for Engineers and Scientists ,MATH 275,Mathematics 30-1 or Mathematics 2 (offered by Continuing Education); and Mathematics 31 or Mathematics 3 (offered by Continuing Education).,Credit for Mathematics 275 and either 249 or 265 will not be allowed.  ,none
277,Multivariable Calculus for Engineers and Scientists ,MATH 277,Mathematics 275; and Mathematics 211 or 213.,Credit for Mathematics 277 and 267 will not be allowed. ,none
305,Inside Mathematics ,MATH 305,Mathematics 211 or 213; and Mathematics 271 or 273.,none,none
307,Complex Analysis I ,MATH 307,Mathematics 211 or 213; and Mathematics 267 or 277; and Mathematics 271 or 273.,Credit for Mathematics 307 and 421 will not be allowed. ,none
