600,Introduction to Community Health Sciences,MDCH 600,Admission to the Community Health Sciences or Public Health and Preventative Medicine program or  Mathematics and Statistics graduate program (Biostatistics specialization) or consent of the Community Health Sciences graduate program.,Credit for Community Health Sciences 600 and Medical Science 644 will not be allowed.,none
602,Practicum in Public Health and Preventative Medicine  ,MDCH 602,Admission to the Master of Community Medicine specialization or the Public Health and Preventative Medicine program.,Credit for Community Health Sciences 602 and Medical Science 649.01 will not be allowed.,none
603,Practicum in Health Care Epidemiology,MDCH 603,Admission to the Community Health Sciences graduate program’s Health Care Epidemiology specialization.,Credit for Community Health Sciences 603 and Medical Science 649.02 will not be allowed.,none
604,Practicum in Community Health Sciences,MDCH 604,Admission to the Community Health Sciences graduate program.,Credit for Community Health Sciences 604 and Medical Science 649.03 will not be allowed.,none
605,Introduction to Biostastical Methods,MDCH 605,Consent of the Cumming School of Medicine.  ,none,none
610,Biostatistics I: Essentials of Biostatistics,MDCH 610,Admission to the Community Health Sciences graduate program or Public Health and Preventative Medicine program or consent of the program. ,Credit for Community Health Sciences 610 and Medical Science 643.01 will not be allowed.,none
611,Biostatistics II: Models for Health Outcomes,MDCH 611,Community Health Sciences 610 or Medical Science 643.01 and admission to the Community Health Sciences graduate program.    ,Credit for Community Health Sciences 611 and Medical Science 643.02 will not be allowed.,none
612,Biostatistics III: Models for Repeated Measures Studies and Time-to-Events Studies,MDCH 612,Admission to the Community Health Sciences graduate program and Community Health Sciences 611 or Medical Science 643.02 or consent of the program.,Credit for Community Health Sciences and Medical Science 643.03 will not be allowed.,none
626,Meta-Analysis/Systematic Review in Medical Education ,MDCH 626,Admission to the Medical Education specialization of the Community Health Sciences graduate program or consent of the program.,Credit for Community Health Sciences 626 and Medical Science 738 will not be allowed.,none
627,Medical Education Assessment and Measurement,MDCH 627,Admission to the Medical Education Specialization of the Community Health Sciences graduate program or consent of the program.,Credit for Community Health Sciences 627 and Medical Science 739 will not be allowed.,none
628,Teaching$ Learning$ and Curriculum Design,MDCH 628,Admission to the Medical Education Specialization of the Community Health Sciences graduate program or consent of the program.   ,Credit for Community Health Sciences 628 and any of Community Health Sciences 623$ 624 and 625 will not be allowed.  ,none
629,Foundations of Practice and Science in Medical Education,MDCH 629,Admission to the Medical Education Specialization of the Community Health Sciences graduate program or consent of the program.  ,none,none
630,Designing Medical Education Research,MDCH 630,Admission to the Medical Education Specialization of the Community Health Sciences graduate program or consent of the program.    ,none,none
631,Implementation of Medical Education Research,MDCH 631,Admission to the Medical Education Specialization of the Community Health Sciences graduate program or consent of the program.  ,none,none
640,Fundamentals of Epidemiology,MDCH 640,Admission to the Community Health Sciences graduate program or Public Health and Preventative Medicine program$ or Mathematics and Statistics graduate program (Biostatistics specialization)$ or consent of the Community Health Sciences graduate program.,Credit for Community Health Sciences 640 and Medical Science 647.01 will not be allowed.,Community Health Sciences 610 (except for graduate students in the Community Health Sciences or Mathematics and Statistics graduate programs with a specialization in Biostatistics).
641,Introduction to Clinical Trials,MDCH 641,Admission to the Community Health Sciences graduate program and Community Health Sciences 610 and 640 or Medical Science 643.01 and 647.01 or consent of the program.,Credit for Community Health Sciences 641 and Medical Science 659.04 will not be allowed.,none
642,Psychiatric Epidemiology ,MDCH 642,Community Health Sciences 610 and 640 and admission to the Community Health Sciences graduate program or consent of the program.         ,none,none
