300,Anatomy I,MDCN300,none,none,none
320,Medical Skills,MDCN320,none,none,none
330,Family Medicine Clinical Experience,MDCN330,none,none,none
340,Population Health,MDCN340,none,none,none
345,Applied Evidence-Based Medicine I,MDCN345,none,none,none
350,Introduction to Medicine, Blood and Gastrointestinal Course,MDCN350,none,none,none
360,Integrated Musculoskeletal and Dermatology Course,MDCN360,none,none,none
370,Integrated Cardiovascular and Respiratory Course,MDCN370,none,none,none
400,Anatomy II,MDCN400,none,none,none
402,Second Year Elective,MDCN402,none,none,none
410,Integrated Renal-Electrolyte and Endocrine-Metabolic Course,MDCN410,none,none,none
420,Medical Skills,MDCN420,none,none,none
430,Family Medicine Clinical Experience,MDCN430,none,none,none
445,Applied Evidence-Based Medicine II,MDCN445,none,none,none
450,Integrated Neurosciences, Special Senses and Aging Course,MDCN450,none,none,none
460,Children and Womensinglequotes Health,MDCN460,none,none,none
470,Psychiatry ,MDCN470,none,none,none
480,Integrative Course I,MDCN480,none,none,none
485      ,Integrative Course II,MDCN485      ,none,none,none
490,Introduction to Clinical Practice I,MDCN490,none,none,none
495,Introduction to Clinical Practice II,MDCN495,none,none,none
500,Clinical Re-orientation,MDCN500,Consent of the Associate Dean, UME. ,none,none
502,Family Medicine,MDCN502,none,none,none
504,Internal Medicine,MDCN504,none,none,none
506,Surgery,MDCN506,none,none,none
508,Paediatrics,MDCN508,none,none,none
510,Psychiatry,MDCN510,none,none,none
512,Obstetrics and Gynaecology,MDCN512,none,none,none
514,Clerkship Electives,MDCN514,none,none,none
515,Extended Clerkship Electives,MDCN515,none,none,none
516,Anaesthesia,MDCN516,none,none,none
520,Comprehensive Clinical Skills Curriculum for Clerkship,MDCN520,none,none,none
522,Emergency Medicine,MDCN522,none,none,none
