201,Applied Tools in Bioinformatics ,MDSC 201,Admission to the Bioinformatics major of BHSc Honours program.,none,none
203,Developing Health Research Literacy I,MDSC 203, Admission to the BHSc Honours program.,none,none
205,Developing Health Research Literacy II,MDSC 205, Medical Science 203 and admission to the BHSc Honours program.,none,none
301,Bioinformatics,MDSC 301,6 units in Computer Science at the 300 level; or Medical Science 341 and 351; or 6 units in Biological Sciences at the 300 level.,Credit for Medical Science 301 and 401 will not be allowed.,none
307,Science$ Philosophy and Society,MDSC 307, Second-year or higher standing in the BHSc Honours program.,none,none
308,Interdisciplinary Research Approaches,MDSC 308, Medical Science 205 and admission to the BHSc Honours program.,none,none
309,Science and Politics ,MDSC 309,Second-year or higher standing in the BHSc Honours program.,none,none
321,Introduction to Immunology,MDSC 321,Biology 241 and 243.,none,none
341,Principles of Human Genetics,MDSC 341, Biology 241; and 243 or 231; and admission to the BHSc Honours program.,Credit for Medical Science 341 and Biology 311 will not be allowed.,none
351,Honours Cellular and Molecular Biology,MDSC 351, Medical Science 341 and admission to the BHSc Honours program.,Credit for Medical Science 351 and Biology 331 will not be allowed.,none
397,Independent Studies in Health Sciences,MDSC 397,A maximum of 45 units and consent of the BHSc Honours program.,none,none
402,Organismal Biology,MDSC 402,Admission to the BHSc Honours program; and Biology 241; and 243 or 231; and Medical Science 351.,Credit for Medical Science 402 and 417 will not be allowed.      ,none
403,Computation for Bioinformatics,MDSC 403,Medical Science 301 or 401; and Statistics 321.,none,none
404,Integrative Human Physiology,MDSC 404,Admission to the BHSc Honours program. ,Credit for Medical Science 404 and any of Kinesiology 259$ 260$ 323$ Zoology 461$ 463 or Biology 305 will not be allowed.,none
407,Statistics and Research Design in Health Sciences,MDSC 407,Admission to the BHSc Honours program.,none,none
408,Research Design in Molecular Biology and Bioinformatics,MDSC 408, Medical Science 308 and admission to the BHSc Honours program.,none,none
409,Brain and Society,MDSC 409,Admission to the BHSc Honours program.,none,none
415,Introduction to Epidemiology,MDSC 415,Medical Science 308.,none,none
