217,Introduction to Business Analytics,MGST 217,Admission to the Haskayne School of Business.,Credit for Management Studies 217 and Business and Environment 291 will not be allowed.,none
301,Research Methodologies,MGST 301,Admission to the Haskayne School of Business Bachelor of Commerce (Honours) program.,none,none
359,Selected Topics in Management ,MGST 359,24 units. For certain topics consent of the Haskayne School of Business and/or admission to the Haskayne School of Business will also be required. ,none,none
391,Business Analytics,MGST 391,Admission to the Haskayne School of Business$ Mathematics 249 or 251 or 265 or 281$ Statistics 217$ Management Studies 217 and Strategy and Global Management 217.     ,none,none
451,Corporate Governance and Ethical Decision-Making,MGST 451,Admission to the Haskayne School of Business and 54 units including Finance 317.,Credit for Management Studies 451 and any of Business and Environment 291$ Management Studies 491$ 493 or 495 will not be allowed.,none
453,Ethical Leadership,MGST 453,Admission to the Haskayne School of Business and 84 units$ including Organizational Behaviour and Human Resources 317.,Credit for Management Studies 453 and any of Business and Environment 291$ Management Studies 491$ 493 or 495 will not be allowed.,none
501,Capstone Applied Research Project I,MGST 501,Admission to the Haskayne School of Business Bachelor of Commerce (Honours) program and Management Studies 301.,none,none
503,Capstone Applied Research Project II,MGST 503,Admission to the Haskayne School of Business Bachelor of Commerce (Honours) program$ Management Studies 301 and 501.,none,none
511,Leadership Skills: Student Business Start-up,MGST 511,Admission to the Haskayne School of Business$ consent of the Haskayne School of Business and 90 units.,none,none
559,Selected Topics in Management,MGST 559,Admission to the Haskayne School of Business and 60 units. For certain topics$ consent of the Haskayne School of Business will also be required.,none,none
571,Management of International Trade,MGST 571,Admission to the Haskayne School of Business and 60 units.,none,none
597,Directed Study in Management Studies,MGST 597,Admission to and consent of the Haskayne School of Business.,none,none
611,Managerial Economics,MGST 611,none,none,none
613,Managerial Decision Modelling,MGST 613,none,none,none
615,Strategic Business Analysis,MGST 615,Strategy and Global Management 601.,none,none
623,Corporate Governance,MGST 623,none,none,none
631,Prescriptive Analytics in Business,MGST 631,Management Studies 613. ,Credit for Management Studies 631 and Operations Management 715 will not be allowed.,none
641,Business Process Improvement and Creative Problem Solving,MGST 641,Operations Management 601.,none,none
643,Study Tour,MGST 643,Operations Management 601.,none,none
651,Global Energy Finance and Accounting,MGST 651,Accounting 603 and Finance 601. ,none,none
667,Directed Masters Study in Management Studies,MGST 667,Consent of the Haskayne School of Business. ,none,none
668,Seminar in Management Studies,MGST 668,Consent of the Haskayne School of Business. ,none,none
672,Introduction to Business,MGST 672,Admission to the Master of Management program.,none,none
674,Integrated Decision Making,MGST 674,Admission to the Master of Management program.,none,none
676,Business Analytics,MGST 676,Admission to the Master of Management program.,none,none
678,Storytelling with Data,MGST 678,Admission to the Master of Management program. ,none,none
703,Philosophy of Science for Business Administration,MGST 703,Admission to the Doctor of Business Administration program.,none,none
705,Critical Research Assessment,MGST 705,Admission to the Doctor of Business Administration program.,none,none
709,Qualitative Research Methods,MGST 709,Admission to the Doctor of Business Administration program.,none,none
711,Quantitative Design and Analysis,MGST 711,Admission to the Doctor of Business Administration program.     ,none,none
714,Engaged Scholarship and the Use of Evidence ,MGST 714,Admission to the Doctor of Business Administration program.,none,none
746,Topics in Business Management,MGST 746,Admission to the Doctor of Business Administration program.,none,none
748,Topics in Advanced Business Management,MGST 748,Admission to the Doctor of Business Administration program.,none,none
773,Multivariate Analysis in Management,MGST 773, Consent of the Haskayne School of Business.,none,none
781,Philosophy of Science in Management Studies,MGST 781, Consent of the Haskayne School of Business.,none,none
783,Advanced Research Methodology and Methods,MGST 783, Consent of the Haskayne School of Business.,none,none
791,Management Education Seminar,MGST 791, Consent of the Haskayne School of Business.,none,none
793,Conceptual Frameworks of the Enterprise,MGST 793, Consent of the Haskayne School of Business.,none,none
794,Theory Development,MGST 794,Consent of the Haskayne School of Business. ,none,none
795      ,Research Development,MGST 795      ,Management Studies 781 or 783.  ,none,none
797,Directed Doctoral Study in Management,MGST 797, Consent of the Haskayne School of Business.,none,none
799,Topics in Management Studies,MGST 799,Consent of the Haskayne School of Business,none,none
