317,Foundations of Marketing,MKTG 317, Admission to the Haskayne School of Business$ and 30 units including Business and Environment 291 or Strategy and Global Management 217.,Credit for Marketing 317 and 341 will not be allowed. ,none
341,Introduction to Marketing,MKTG 341,none,Credit for Marketing 341 and 317 will not be allowed. ,none
431,Retail Management,MKTG 431,Admission to the Haskayne School of Business and Marketing 317.,none,none
433,Business-To-Business Marketing,MKTG 433,Admission to the Haskayne School of Business and Marketing 317.,none,none
435,Marketing Communications,MKTG 435,Admission to the Haskayne School of Business and Marketing 317.,none,none
449,Sales Management,MKTG 449,Admission to the Haskayne School of Business and Marketing 317.,none,none
465,Marketing Research,MKTG 465,Admission to the Haskayne School of Business and Marketing 317.,none,none
467,International Marketing,MKTG 467,Admission to the Haskayne School of Business and Marketing 317.,none,none
475,Digital Marketing,MKTG 475,Admission to the Haskayne School of Business and Marketing 317.,Credit for Marketing 475 and 559.02 will not be allowed.,none
477,Product Management,MKTG 477,Admission to the Haskayne School of Business and Marketing 317.,none,none
483,Buyer Behaviour,MKTG 483,Admission to the Haskayne School of Business and Marketing 317.,none,none
487,Services Marketing,MKTG 487,Admission to the Haskayne School of Business and Marketing 317.,none,none
493,Strategic Marketing,MKTG 493,Admission to the Haskayne School of Business and 84 units including Marketing 317.  ,none, or Prerequisite(s): Marketing 465.
559,Selected Topics in Marketing,MKTG 559,Admission to the Haskayne School of Business and 54 units including Marketing 317. For certain topics$ consent of the Haskayne School of Business will also be required.,none,none
601,Marketing Management,MKTG 601,none,none,none
631,Marketing Analytics,MKTG 631,Marketing 601. ,none,none
635,Marketing Communications,MKTG 635,Marketing 601. ,none,none
641,Business-To-Business Marketing,MKTG 641,Marketing 601. ,none,none
653,Buyer Behaviour,MKTG 653,Marketing 601.,none,none
655,Marketing Research,MKTG 655,Marketing 601. ,none,none
663,New Venture Marketing,MKTG 663,Marketing 601. ,none,none
665,Strategic Marketing,MKTG 665,Marketing 601. ,none,none
667,International Marketing,MKTG 667,Marketing 601.  ,none,none
668,Seminar in Marketing Management,MKTG 668,Marketing 601. ,none,none
672,Strategic Marketing,MKTG 672,Admission to the Master of Management program.,none,none
674,Consumer Insights,MKTG 674,Admission to the Master of Management program.,none,none
797,Advanced Seminar in Marketing,MKTG 797, Consent of the Haskayne School of Business.,none,none
799,Doctoral Seminars in Marketing,MKTG 799,none,none,none
