105,Music Listening,MUSI 105,Admission to a BMus program$ the BA (Music) program or the BA Honours (Music) program.,none,none
127,Class Piano,MUSI 127,Admission to a BMus program.,none,none
203,Jazz History,MUSI 203,none,none,none
209,Introduction to Music Theory for Non-Majors,MUSI 209,none,Music majors and minors may not count this course toward their degree requirements. ,none
211,Materials of Music,MUSI 211,Successful completion of the Music Theory Diagnostic exam.,none,none
213,Diatonic Harmony,MUSI 213,Music 211.,none,none
221,Performance Practicum I,MUSI 221,Admission to the BMus program.,none,none
223,Performance Practicum II,MUSI 223,Music 221 and admission to the BMus program.,none,none
225,Musicianship I,MUSI 225,Admission to the Music major or minor. ,none,none
230,Music History and Literature I,MUSI 230,none,Credit for Music 230 and Music 334 or 336 will not be allowed.,none
255,Introduction to Music Technology,MUSI 255,none,none,none
306,Topics in Music and Popular Culture,MUSI 306,none,Credit for Music 306 and any of 301$ 302$ 304$ 402 will not be allowed.,none
307,Topics in World Music,MUSI 307,none,Credit for Music 307 and either 303 or 403 will not be allowed.,none
308,Topics in Composers and Musical Culture,MUSI 308,none,Credit for Music 308 and any of 304$ 305$ 401 or 405 will not be allowed.,none
309,The Art of Music Listening,MUSI 309,none,Music majors and minors (except Sonic Arts Minors) may not count this course toward their degree requirements.,none
311,Chromatic Harmony,MUSI 311,Music 213.,none,none
313,Materials of Twentieth-Century Music,MUSI 313,Music 311.,none,none
321,Performance Practicum III,MUSI 321,Music 223 and admission to the BMus program. Students not admitted to a BMus program may register with an audition and consent of the Division Chair$ Music.      ,none,none
323,Performance Practicum IV,MUSI 323,Music 321 and admission to the BMus program. Students not admitted to a BMus program may register with an audition and consent of the Division Chair$ Music.      ,none,none
325,Musicianship II,MUSI 325,Music 225.,none,none
327,Second Instrument Study,MUSI 327,Open to Music Majors with consent of the Division Chair$ Music.,none,none
329,Jazz Musicianship,MUSI 329,Music 211.,none,none
330,Music History and Literature II,MUSI 330,Music 230.,Credit for Music 330 and Music 334 or 336 will not be allowed.,none
332,Music History and Literature III,MUSI 332,Music 330.,Credit for Music 332 and Music 334 or 336 will not be allowed.,none
341,Composition I,MUSI 341,Music 213.,none,none
343,Composition II,MUSI 343,Music 341.,none,none
351,Sonic Arts,MUSI 351,none,none,none
355,Sound Recording,MUSI 355,none,none,none
415,Form and Analysis,MUSI 415,Music 313.,none,none
417,Advanced Harmonic Analysis,MUSI 417,Music 313.,none,none
