317,Organizational Behaviour,OBHR 317,Admission to the Haskayne School of Business$ and Business and Environment 291 or Strategy and Global Management 217.   ,Credit for Organizational Behaviour and Human Resources 317 and 321 will not be allowed.   ,none
321,Foundations in Organizational Behaviour and Human Resources,OBHR 321,none,Credit for Organizational Behaviour and Human Resources 321 and 317 will not be allowed.    ,none
401,Strategic Human Resource Management  ,OBHR 401,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.   ,none,none
405,Labour Relations,OBHR 405,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.  ,none,none
407,Rationality and Decisions,OBHR 407,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.,none,none
409,Talent Management,OBHR 409,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.,Credit for Organizational Behaviour and Human Resources 409 and either Organizational Behaviour and Human Resources 559.02 or 559.05 will not be allowed.,none
411,Training and Development,OBHR 411,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.,Credit for Organizational Behaviour and Human Resources 411 and 559.03 will not be allowed.,none
413,Compensation and Performance Management,OBHR 413,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.,Credit for Organizational Behaviour and Human Resources 413 and 559.04 will not be allowed.,none
421,Interpersonal Behaviour,OBHR 421,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.   ,none,none
449,Arbitration of Employment Disputes,OBHR 449,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.   ,none,none
491,Lifework Planning and Career Assessment,OBHR 491,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317.,none,none
493,Business Negotiations,OBHR 493,Admission to the Haskayne School of Business and 60 units including Organizational Behaviour and Human Resources 317.,none,none
559,Selected Topics in Management and Organizations,OBHR 559,Admission to the Haskayne School of Business and Organizational Behaviour and Human Resources 317. For certain topics$ consent of the Haskayne School of Business will also be required.,none,none
601,Organizational Behaviour,OBHR 601,none,none,none
621,Advanced Leadership,OBHR 621,Organizational Behaviour and Human Resources 601.,none,none
623,Organizational Change and Development,OBHR 623,Organizational Behaviour and Human Resources 601.,none,none
632,Lifework Planning and Career Assessment,OBHR 632,Organizational Behaviour and Human Resources 601.,none,none
641,Managerial Decision Making,OBHR 641,none,none,none
645,Cross-Cultural Leadership and Human Resources Management,OBHR 645,none,none,none
647,Business Negotiations,OBHR 647,Organizational Behaviour and Human Resources 601.,none,none
668,Seminar in the Management of Human Resources,OBHR 668,Organizational Behaviour and Human Resources 601 or consent of the Haskayne School of Business. ,none,none
672,Working with People,OBHR 672,Admission to the Master of Management program.,none,none
674,Navigating the Organization,OBHR 674,Admission to the Master of Management program. ,none,none
676,Leadership,OBHR 676,Admission to the Master of Management program.,none,none
733,Leadership,OBHR 733,Admission to the Doctor of Business Administration program.,none,none
797,Advanced Seminar in Organizational Behaviour and Human Resources ,OBHR 797,Consent of the Haskayne School of Business.   ,none,none
799,Doctoral Seminars in Organizational Behaviour and Human Resources ,OBHR 799,none,none,none
