301,Introduction to Operations and Supply Chain Management,OPMA 301,Any 200-level Mathematics or Statistics 213 (or equivalent$ excluding Statistics 201)$ and Entrepreneurship and Innovation 201.,Credit for Operations Management 301 and 317 will not be allowed. ,none
317,Fundamentals of Operations and Supply Chain Management,OPMA 317,Admission to the Haskayne School of Business$ Business and Environment 291 or Management Studies 217$ and Statistics 213.,Credit for Operations Management 317 and 301 will not be allowed. ,none
401,Production and Materials Management,OPMA 401,Admission to the Haskayne School of Business$ Operations Management 317 and Management Studies 391.,none,none
403,Managing Quality in Products and Services,OPMA 403,Admission to the Haskayne School of Business and Operations Management 317.,none,none
405,Service Operations Management,OPMA 405,Admission to the Haskayne School of Business$ Operations Management 317 and Management Studies 391.,none,none
407,Project Management,OPMA 407,Admission to the Haskayne School of Business$ Operations Management 317 and Management Studies 391.,none,none
409,Computer Simulation for Business,OPMA 409,Admission to the Haskayne School of Business$ Operations Management 317 and Management Studies 391.,none,none
411,Field Investigation in Operations and Supply Chain Management,OPMA 411,Admission to the Haskayne School of Business$ and 60 units including Operations Management 317$ Management Studies 391 and two 400-level Operations Management or Supply Chain Management courses.,none,none
415,Prescriptive Models in Business Analytics,OPMA 415,Admission to the Haskayne School of Business and Management Studies 391.,none,none
419,Predictive Models in Business Analytics,OPMA 419,Admission to the Haskayne School of Business and Management Studies 391.,none,none
559,Selected Topics in Operations Management,OPMA 559,Admission to the Haskayne School of Business$ Operations Management 317 and Management Studies 391. For certain topics$ consent of the Haskayne School of Business will also be required.,none,none
601,Operations Management,OPMA 601,none,none,none
631,Predictive Analytics in Business,OPMA 631,Management Studies 613.,Credit for Operations Management 631 and 797.13 will not be allowed. ,none
635,Operations Planning and Supply Chain Management,OPMA 635,Operations Management 601 and Management Studies 613. ,none,none
649,Project Procurement and Logistics,OPMA 649,Business and Environment 691.,none,none
668,Selected Topics in Operations Management,OPMA 668,Operations Management 601.,none,none
672,Operations and Supply Chain Integration,OPMA 672,Admission to the Master of Management program.,none,none
731,Decision-Making for Outcome Optimization,OPMA 731,Admission to the Doctor of Business Administration program.,none,none
743,Simulation of Operational Systems,OPMA 743, Operations Management 601 and Management Studies 613.,none,none
761,Inventory Management,OPMA 761,none,Credit for Operations Management 761 and 797.11 will not be allowed.,none
771,Optimization,OPMA 771,none,Credit for Operations Management 771 and 797.10 will not be allowed.,none
775,Markov Decision Processes,OPMA 775,none,Credit for Operations Management 775 and 797.09 will not be allowed.,none
797,Advanced Seminar in Operations Management,OPMA 797, Consent of the Haskayne School of Business.,none,none
799,Doctoral Seminars in Operations Management,OPMA 799,none,none,none
