201,Mind$ Matter and God,PHIL 201,none,none,none
249,Morality$ Virtue and Society,PHIL 249,none,none,none
259,Sex$ Love and Death,PHIL 259,none,none,none
264,How Do We Know?,PHIL 264,none,none,none
279,Logic I,PHIL 279,none,Credit for Philosophy 279 and 377 will not be allowed.,none
301,The Classical Period,PHIL 301,none,none,none
303,The Medieval and Renaissance Period,PHIL 303,none,none,none
305,The Seventeenth and Eighteenth Centuries,PHIL 305,none,none,none
307,Nineteenth- or Twentieth-Century Analytic Philosophy,PHIL 307,none,none,none
309,Hegel to Nietzsche ,PHIL 309,none,Credit for Philosophy 309 and 369 will not be allowed.,none
311,Twentieth-Century Continental Philosophy,PHIL 311,none,Credit for Philosophy 311 and 469 will not be allowed.,none
313,Bioethics,PHIL 313,none,none,none
314,Information Technology Ethics,PHIL 314,none,none,none
315,Philosophy in Literature,PHIL 315,none,none,none
317,Philosophy and Film,PHIL 317,none,none,none
325,Law and Morality,PHIL 325,none,Credit for Philosophy 325 and 319 will not be allowed.,none
329,Business Ethics,PHIL 329,none,none,none
330,Philosophy of Money,PHIL 330,none,Credit for Philosophy 330 and 399.02 will not be allowed.,none
331,Philosophy of Religion,PHIL 331,Religious Studies 205 or 3 units of a course labelled Philosophy.,none,none
333,Aesthetics ,PHIL 333,none,none,none
335,Asian Philosophy,PHIL 335,none,none,none
337,Philosophy$ Feminism and Gender,PHIL 337,none,none,none
345,Issues in Environmental Ethics,PHIL 345,none,Credit for Philosophy 345 and 447 will not be allowed.,none
347,Contemporary Moral Problems,PHIL 347,none,none,none
359,Existentialism,PHIL 359,none,none,none
361,Evidence,PHIL 361,none,none,none
367,Science and Philosophy,PHIL 367,none,none,none
377,Elementary Formal Logic,PHIL 377,none,Credit for Philosophy 377 and 279 will not be allowed.,none
379,Logic II,PHIL 379,Philosophy 279 or 377.,none,none
383,Philosophy and Psychology,PHIL 383,none,Credit for Philosophy 383 and 381 will not be allowed.,none
395,Mind and World,PHIL 395,Admission to the BA or BA Honours in Philosophy and consent of the Department.,none,none
397,Value Theory,PHIL 397,Admission to the BA or BA Honours in Philosophy or in Religious Studies and Applied Ethics and consent of the Department.,none,none
399,Topics in Philosophy,PHIL 399,none,none,none
401,Topics: A Classical Philosopher,PHIL 401,6 units in courses labelled Philosophy including 3 units from Philosophy 301$ 303$ 305$ 307$ 309$ 311.,none,none
403,Topics: A Medieval or Renaissance Philosopher,PHIL 403,6 units in courses labelled Philosophy including 3 units from Philosophy 301$ 303$ 305$ 307$ 309$ 311.,none,none
405,Topics: A Seventeenth- or Eighteenth-Century Philosopher,PHIL 405,6 units in courses labelled Philosophy including 3 units from Philosophy 301$ 303$ 305$ 307$ 309$ 311.,none,none
407,Topics: A Nineteenth- or Twentieth-Century Philosopher,PHIL 407,6 units in courses labelled Philosophy including 3 units from Philosophy 301$ 303$ 305$ 307$ 309$ 311.,none,none
408,Topics: A Philosopher in the Continental Tradition - Nineteenth Century to Present,PHIL 408,3 units from Philosophy 309$ 311$ 333$ 359$ Religious Studies 363; and 3 units in a course labelled Philosophy.,none,none
