106,Module M6 Thermal Physics,PHYS 106,Consent of the Department.,none,none
211,Mechanics,PHYS 211,Mathematics 30-1 or Mathematics 2 (offered by Continuing Education). ,Credit for more than one of Physics 211$ 221$ or 227 will not be allowed. ,none
221,Mechanics,PHYS 221,Physics 30; and Mathematics 30-1 or Mathematics 2 (offered by Continuing Education); and Mathematics 31.,Credit for more than one of Physics 211$ 221$ or 227 will not be allowed. ,none
223,Introductory Electromagnetism$ and Thermal Physics,PHYS 223,3 units from Physics 211$ 221 or 227.,none,none
227,Classical Physics,PHYS 227,Physics 30; and Mathematics 30-1 or Mathematics 2 (offered by Continuing Education); and Mathematics 31; and admission to a Major or Minor in Physics or Astrophysics or a Major in Chemistry$ Natural Science (Physics Concentration)$ or Environmental Science (Physics Concentration).,Credit for more than one of Physics 227$ 321$ or 221 will not be allowed.,none
229,Modern Physics ,PHYS 229,3 units from Physics 211$ 221 or 227; and 3 units from Mathematics 249$ 265 or 275.,none,none
259,Electricity and Magnetism (for students in Engineering),PHYS 259,Mathematics 211 and 3 units from Mathematics 265 or 275.,Credit for Physics 259 and any of 255$ 323 or 355 will not be allowed.,none
271,How Things Work,PHYS 271,none,Physics Majors$ Astrophysics Majors$ Natural Sciences Physics Concentrators and  Environmental Science Physics Concentrators are not permitted to register in this course.  ,none
303,Quantum Mysteries and Paradoxes,PHYS 303,none,Physics Majors$ Astrophysics Majors$ Natural Sciences Physics Concentrators and  Environmental Science Physics Concentrators are not permitted to register in this course.,none
321,Harmonic Motion$ Waves$ and Rotation,PHYS 321,3 units from Physics 211$ 221 or 227; and Mathematics 211 or 213; and Mathematics 267 or 277.,none,none
323,Optics and Electromagnetism,PHYS 323,Physics 223 and 3 units from Physics 211$ 221 or 227; and 3 units from Mathematics 249$ 265 or 275.,Credit for Physics 323 and any of 255$ 259 or 355 will not be allowed.,none
341,Classical Mechanics I,PHYS 341,3 units from Physics 211$ 221 or 227; and Mathematics 211 or 213; and Mathematics 267 or 277.,none,none
343,Classical Mechanics II,PHYS 343,Physics 341.,none,none
355,Electromagnetic Theory I ,PHYS 355,Physics 211 or 221 or 227; and Mathematics 375 or 376. ,none,none
365,Acoustics$ Optics and Modern Physics (for students in Engineering) ,PHYS 365,Mathematics 277 and Physics 259 and admission to a program in Engineering.  ,Credit for Physics 365 and 369 will not be allowed. Not open to Geomatics Engineering students. ,none
369,Acoustics$ Optics and Radiation (for students in Engineering),PHYS 369,Mathematics 277 and Physics 259 and admission to a program in Engineering.,Credit for Physics 369 and 365 will not be allowed. Not open to Electrical Engineering students. ,none
371,Introduction to Energy,PHYS 371,none,none,none
