600,Landscape Ecology and Planning,PLAN 600,none,none,none
602,Computer Modelling for Urban Design,PLAN 602,none,none,Planning 606 or Environmental Design Planning 625. 
604,Planning History and Theory,PLAN 604,none,none,none
606,Site Planning Studio,PLAN 606,none,none,Planning 602 or Environmental Design Planning 602.
608,Geographic Information Systems for Environmental Design,PLAN 608,none,none,none
610,Community Planning Studio,PLAN 610,Planning 606 or Environmental Design Planning 625.,none,none
612,Urban Infrastructure and Land Use,PLAN 612,none,none,none
614,Real Estate Development and Finance,PLAN 614,none,none,none
616,Urban Design Studio,PLAN 616,6 units from Planning 610$ Environmental Design Planning 636$ Landscape Architecture 604 or Environmental Design Landscape 667.,none,none
618,Regional Planning Studio,PLAN 618,Planning 610 or Environmental Design Planning 636.,none,none
620,Planning and Public Engagement,PLAN 620,none,none,none
622,Project Management for Planners,PLAN 622,none,none,none
624,Housing and Neighbourhood Change,PLAN 624,none,none,none
626,Urban Design Theory,PLAN 626,none,none,none
628,Professional Planning Practice,PLAN 628,none,none,none
630,Advanced Professional Planning Studio,PLAN 630,Planning 616 or 618; or one of Environmental Design 618$ 620$ 623 or 640.,none,none
640,Geography of Crime,PLAN 640,Admission to the Certificate in Designing Smart and Secure Communities.,none,none
642,Designing Safe Communities,PLAN 642,Planning 640 or Environmental Design 630.  ,none,none
644,Designing Smart Communities,PLAN 644,Planning 640 or Environmental Design 630. ,none,none
646,Integrative Project,PLAN 646,Planning 640$ 642 and 644; or Environmental Design 630$ 632 and 634. ,none,none
650,Theories of Sustainable Urban Design,PLAN 650,Admission to the Certificate in Sustainable Urban Design. ,none,none
652,Site/Context Analysis and Sustainable Design Studio,PLAN 652,Planning 650 or Environmental Design 650.,none,none
654,Green Infrastructure and Land Use,PLAN 654,Planning 652 or Environmental Design 652.,none,none
656,Advanced Urban Design Studio,PLAN 656,Planning 654 or Environmental Design 654.,none,none
660,Principles of Historic Conservation,PLAN 660,none,none,none
662,Heritage Conservation Policy and Planning,PLAN 662,none,none,none
664,Sustainability and Historic Preservation,PLAN 664,none,none,none
668,Advanced Heritage Conservation Project ,PLAN 668,none,none,none
670,Experiential Learning in Planning,PLAN 670,none,none,none
672,Experiential Learning in Planning,PLAN 672,none,none,none
674,Experiential Learning in Planning,PLAN 674,none,none,none
676,Experiential Learning in Planning,PLAN 676,none,none,none
680,Special Topics in Planning,PLAN 680,none,none,none
682,Special Topics in Planning,PLAN 682,none,none,none
684,Special Topics in Planning,PLAN 684,none,none,none
686,Special Topics in Planning,PLAN 686,none,none,none
688,Special Studio Topics in Planning,PLAN 688,none,none,none
790,Directed Study in Planning,PLAN 790,Consent of the School. ,none,none
792,Directed Study in Planning,PLAN 792,Consent of the School.,none,none
799,Preceptorship in Planning,PLAN 799,Consent of the School. ,none,none
