327,Systematics and Diversity of Plants ,PLBI 327,Biology 371.,none,none
401,Plant Biotechnology ,PLBI 401,Biology 331$ 371$ and 3 units from Biochemistry 341 or 393. ,none,none
403,Plant Physiology ,PLBI 403,Biology 371. ,none,none
421,Plant Cell Biology and Anatomy ,PLBI 421,Biology 371. ,none,none
507,Advanced Topics in Plant Biology ,PLBI 507,54 units and consent of the Department. ,none,none
528,Independent Studies in Plant Biology ,PLBI 528,72 units and consent of the Department. ,none,none
530,Honours Research Project in Plant Biology ,PLBI 530,72 units and consent of the Department. ,none,none
541,Taxonomy of the Seed Plants ,PLBI 541,Botany 327 or Plant Biology 327. ,none,none
543,Plant Signaling and Development ,PLBI 543,Biology 331 and 3 units from Botany 303$ 321$ Plant Biology 403 or 421. ,none,none
633,Current Topics in Plant Biology ,PLBI 633,none,none,none
