217,Introduction to Business Skills,SGMA 217,Admission to the Haskayne School of Business.,Credit for Strategy and Global Management 217 and Business and Environment 291 will not be allowed.,none
371,International Business,SGMA 371, Admission to the Haskayne School of Business and 24 units.,none,none
403,Business in BRIC Markets,SGMA 403,Admission to the Haskayne School of Business and 60 units.,none,none
405,East Asia in the World Economy,SGMA 405,Admission to the Haskayne School of Business and 60 units.,none,none
407,International Business Regulation,SGMA 407,Admission to the Haskayne School of Business and 60 units.,none,none
409,Cross-Cultural Management,SGMA 409,Admission to the Haskayne School of Business and 60 units.,Credit for Strategy and Global Management 409 and Management Studies 559.26 will not be allowed.,none
559,Selected Topics in Strategy and Global Management,SGMA 559,Admission to the Haskayne School of Business and 60 units. For certain topics$ consent of the Haskayne School of Business will also be required.,none,none
571,Business Under USMCA,SGMA 571, Admission to the Haskayne School of Business and 60 units.,none,none
573,Business with Japan,SGMA 573, Admission to the Haskayne School of Business and 60 units.,none,none
577,International Strategic Management,SGMA 577,Admission to the Haskayne School of Business and 60 units. ,none,none
579,Co-ordinating Global Business,SGMA 579,Admission to the Haskayne School of Business and 60 units.,none,none
588,Field Investigation in International Business,SGMA 588,Admission to the Haskayne School of Business and 60 units including one of Finance 461$ Marketing 467$ Strategy and Global Management 371$ 403$ 405$ 407$ 409$ 571$ 573$ 577 or 579.,Credit for Strategy and Global Management 588 and 589 will not be allowed. ,none
591,Strategic Management,SGMA 591,Admission to the Haskayne School of Business and 84 units including Accounting 217 or 317$ Accounting 323$ Business and Environment 395$ Communications Studies 363 or 369 or Entrepreneurship and Innovation 317$ Management Studies 391$ Organizational Behaviour and Human Resources 317$ Business Technology Management 317$ Finance 317$ Marketing 317$ Operations Management 317.,none,none
601,Strategic Management I,SGMA 601,none,Credit for Strategy and Global Management 601 and 701 will not be allowed.,none
602,Strategic Management II,SGMA 602,Strategy and Global Management 601 or consent of the Haskayne School of Business. ,none,none
631,Analytics of International Business Environment,SGMA 631,none,none,none
655,Strategic Management in the Global Energy Industry,SGMA 655,Strategy and Global Management 601.,none,none
659,International Business Environment,SGMA 659,none,none,none
668,Seminar in Strategy and Global Management,SGMA 668,none,none,none
672,Strategic Analysis,SGMA 672,Admission to the Master of Management program.,none,none
674,International Business,SGMA 674,Admission to the Master of Management program.,none,none
707,Advanced Strategic Management Tools,SGMA 707,Admission to the Doctor of Business Administration program.,none,none
796,Qualitative Research in Strategy and Organizations,SGMA 796,Consent of the Haskayne School of Business.,none,none
797,Advanced Seminar in Strategy and Global Management,SGMA 797, Consent of the Haskayne School of Business.,none,none
799,Doctoral Seminars in Strategy and Global Management,SGMA 799,none,none,none
