201,Global Challenges Inquiry I,UNIV 201,Completed fewer than 18 units at the time of registration.,none,none
203,Global Challenges Inquiry II,UNIV 203,University 201 and completed fewer than 18 units at the time of registration.,none,none
205,Effective Learning Strategies,UNIV 205,none,Credit for University 205 and Educational Psychology 205 will not be allowed.,none
401,Topics in Interdisciplinary Studies,UNIV 401,none,none,none
501,Experiential Learning,UNIV 501,Consent of the studentsinglequotes faculty.,none,none
511,Special Topics in Sustainability,UNIV 511,none,none,none
513,Introduction to Interdisciplinary Design Practice,UNIV 513,none,none,none
515,Advanced Interdisciplinary Design Practice,UNIV 515,University 511.01.,none,none
601,Ethics of Research with Human Subjects,UNIV 601,Consent of the Course Co-ordinator.,none,none
611,Special Topics in Sustainability,UNIV 611,none,none,none
613,Introduction to Interdisciplinary Design Practice,UNIV 613,none,none,none
615,Advanced Interdisciplinary Design Practice,UNIV 615,University UNIV 611.01.,none,none
