300,Clinical Presentations I,VETM 300,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
305,Clinical Skills I,VETM 305,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
307,Professional Skills I,VETM 307,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
320,Anatomy and Histology,VETM 320,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
321,Physiology,VETM 321,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
322,Animal Behaviour and Welfare,VETM 322,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
323,Animals$ Health$ and Society,VETM 323,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
324,Genetics and Molecular Biology,VETM 324,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
342,Pathologic Basis of Disease,VETM 342,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
343,Immunology,VETM 343,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
344,Principles of Epidemiology,VETM 344,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
345,Introduction to Nutrition,VETM 345,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
360,Introduction to Veterinary Medicine,VETM 360,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
400,Clinical Presentations II,VETM 400,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
405,Clinical Skills II,VETM 405,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
407,Professional Skills II,VETM 407,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
411,Basic Surgical Principles ,VETM 411,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
420,Health Management,VETM 420,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
422,Virology,VETM 422,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
423,Bacteriology,VETM 423,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
424,Parasitology,VETM 424,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
425,Systemic Pathology,VETM 425,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
440,One Health and Veterinary Practice ,VETM 440,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
442,Clinical Pathology,VETM 442,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
443,Clinical Pharmacology and Toxicology,VETM 443,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
445,Diagnostic Imaging,VETM 445,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
461,Outbreak Investigation,VETM 461,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
462,Foreign Animal Disease,VETM 462,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
464,Career Options and Field Experiences in Veterinary Medicine ,VETM 464,Admission to the Doctor of Veterinary Medicine (DVM) Program.     ,none,none
465,Applied Nutrition,VETM 465,Admission to the Doctor of Veterinary Medicine (DVM) Program.      ,none,none
501,Clinical Presentations III,VETM 501,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
505,Clinical Skills III,VETM 505,Admission to the Doctor of Veterinary Medicine (DVM) Program.,none,none
507,Professional Skills III,VETM 507,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
521,Equine Medicine and Surgery,VETM 521,Admission to the Doctor of Veterinary Medicine (DVM) Program.      ,none,none
522,Small Animal Medicine and Surgery,VETM 522,Admission to the Doctor of Veterinary Medicine (DVM) Program.     ,none,none
523,Anaesthesiology and Therapeutics,VETM 523,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
525,Advanced Health Management,VETM 525,Admission to the Doctor of Veterinary Medicine (DVM) Program.     ,none,none
530,Selected Topics in Clinical Medicine,VETM 530,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
531,Selected Topics in Small Ruminant$ South American Camelid and Non-traditional Livestock Production,VETM 531,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
540,Food Animal Medicine and Surgery,VETM 540,Admission to the Doctor of Veterinary Medicine (DVM) Program.      ,none,none
541,Theriogenology,VETM 541,Admission to the Doctor of Veterinary Medicine (DVM) Program.     ,none,none
542,Emergency and Critical Care,VETM 542,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
550,Zoological Medicine,VETM 550,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
551,Laboratory Animal Medicine,VETM 551,Admission to the Doctor of Veterinary Medicine (DVM) Program.    ,none,none
561,Ecosystem and Public Health Field Course,VETM 561,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
570,Laboratory Diagnostics,VETM 570,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
580,General Veterinary Practice,VETM 580,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
582,Production Animal Health,VETM 582,Admission to the Doctor of Veterinary Medicine (DVM) Program.     ,none,none
583,Ecosystem and Public Health,VETM 583,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
584,Equine Health,VETM 584,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
585,Investigative Medicine,VETM 585,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
590,Clinical Enrichment,VETM 590,Admission to the Doctor of Veterinary Medicine (DVM) Program.   ,none,none
601,Professional Skills in Health Science Research,VETM 601,Consent of the Faculty.,none,none
605,Introduction to Biostastical Methods ,VETM 605,Consent of the Faculty.,none,none
610,Biostatistics I: Essentials of Biostatistics,VETM 610,Admission to the Veterinary Medical Sciences graduate program.  ,none,none
