401,An Introduction to Invertebrate Zoology ,ZOOL 401,Biology 371.,none,none
403,An Introduction to Vertebrate Zoology ,ZOOL 403,Biology 371. ,Credit for Zoology 403 and either Zoology 477.01 or 477.02 will not be allowed. ,none
435,Entomology,ZOOL 435,Biology 371.,none,none
461,Animal Physiology I,ZOOL 461,Biology 331.,Credit for Zoology 461 and any of Biology 305$ Medical Science 404$ 604$ Zoology 269$ Kinesiology 259$ 260 or 323 will not be allowed.,none
463,Animal Physiology II,ZOOL 463,Zoology 461.,Credit for Zoology 463 and any of Biology 305$ Medical Science 404$ 604$ Zoology 269$ Kinesiology 259$ 260 or 323 will not be allowed.,none
507,Advanced Topics in Zoology,ZOOL 507,54 units and consent of the Department.,none,none
515,Comparative Vertebrate Anatomy,ZOOL 515,Zoology 379 or 403.,Credit for Zoology 515 and 377 will not be allowed.,none
528,Independent Studies in Zoology,ZOOL 528, Biology 315$ 72 units and consent of the Department.,none,none
530,Honours Research Project in Zoology,ZOOL 530, Biology 315$ 72 units and consent of the Department.,none,none
567,Animal Behaviour,ZOOL 567,Biology 313 and 3 units from Biology 371$ Ecology 429$ Zoology 375$ 377$ 401 or 477.,Credit for Zoology 567 and Marine Science 546 will not be allowed.,none
571,Palaeobiology of Vertebrates,ZOOL 571,3 units from Zoology 377$ 379 or 403.,Credit for Zoology 571 and either Zoology 571.01 or 571.02 will not be allowed.,none
576,The Invertebrates ,ZOOL 576,3 units from Zoology 375$ 401 or 435. ,none,none
577,Mammalogy,ZOOL 577, Biology 313 and 3 units from Zoology 379$ 403 or 477.01.,none,none
581,Principles in Parasitism ,ZOOL 581,3 units from Cellular$ Molecular and Microbial Biology 343$ Zoology 375 or 401. ,none,none
595,Evolutionary Perspectives in Neurobiology ,ZOOL 595, Zoology 461.,Credit for Zoology 595 and Neuroscience 541 will not be allowed.,none
597,Principles of Endocrinology,ZOOL 597, Zoology 463.,none,none
697,Advanced Topics in Comparative Endocrinology,ZOOL 697,Zoology 463.   ,Credit for Zoology 697 and 597 will not be allowed.,none
